run_id,family,model,seed,canonical_pass,violations,residual_head_type,anchor_mode,reference_lr,hidden_dim,num_layers,dropout,use_primary_missing_branch,use_dual_foundation,use_dual_reference_gate,use_element_env,use_pair_env,use_shell_pair_env,use_chem_pair_env,use_grouped_structure_adapter,best_epoch,metrics_path
alignn_seed20260528,alignn,ALIGNN,20260528,True,,mlp,fixed_anchor,0.0,256,3,0.05,False,False,False,False,False,False,False,False,30,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/alignn_seed20260528/metrics.json
alignn_seed20260529,alignn,ALIGNN,20260529,True,,mlp,fixed_anchor,0.0,256,3,0.05,False,False,False,False,False,False,False,False,22,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/alignn_seed20260529/metrics.json
alignn_seed20260530,alignn,ALIGNN,20260530,True,,mlp,fixed_anchor,0.0,256,3,0.05,False,False,False,False,False,False,False,False,63,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/alignn_seed20260530/metrics.json
chgnet_seed20260528,chgnet,CHGNet,20260528,True,,mlp,fixed_anchor,0.0,256,3,0.05,False,False,False,False,False,False,False,False,99,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/chgnet_seed20260528/metrics.json
chgnet_seed20260529,chgnet,CHGNet,20260529,True,,mlp,fixed_anchor,0.0,256,3,0.05,False,False,False,False,False,False,False,False,97,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/chgnet_seed20260529/metrics.json
chgnet_seed20260530,chgnet,CHGNet,20260530,True,,mlp,fixed_anchor,0.0,256,3,0.05,False,False,False,False,False,False,False,False,166,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/chgnet_seed20260530/metrics.json
eqv3_base_seed20260528,eqv3_base,EqV3,20260528,True,,mlp,fixed_anchor,0.0,256,3,0.05,False,False,False,False,False,False,False,False,198,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/eqv3_base_seed20260528/metrics.json
eqv3_base_seed20260529,eqv3_base,EqV3,20260529,True,,mlp,fixed_anchor,0.0,256,3,0.05,False,False,False,False,False,False,False,False,200,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/eqv3_base_seed20260529/metrics.json
eqv3_base_seed20260530,eqv3_base,EqV3,20260530,True,,mlp,fixed_anchor,0.0,256,3,0.05,False,False,False,False,False,False,False,False,185,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/eqv3_base_seed20260530/metrics.json
eqv3_lora_seed20260528,eqv3_lora,EqV3-LoRA,20260528,True,,mlp,fixed_anchor,0.0,256,3,0.05,False,False,False,False,False,False,False,False,92,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/eqv3_lora_seed20260528/metrics.json
eqv3_lora_seed20260529,eqv3_lora,EqV3-LoRA,20260529,True,,mlp,fixed_anchor,0.0,256,3,0.05,False,False,False,False,False,False,False,False,107,<RUNS_ROOT>/canonical_formdelta_protocol_20260909/runs/eqv3_lora_seed20260529/metrics.json
