fraction,method_a,method_b,n_common_test_rows,delta_mae_a_minus_b_mev_atom,ci95_low_mev_atom,ci95_high_mev_atom,prob_a_lt_b
0.01,fegx,frozen,2048,-2.6149970386533,-3.51165122922471,-1.735798312783548,1.0
0.01,fegx,simple_residual,2048,-9.188568989271104,-10.923913467898323,-7.534611686098622,1.0
0.05,fegx,frozen,2048,-4.35541921372652,-5.650381080153791,-3.0756065292003765,1.0
0.05,fegx,simple_residual,2048,-1.5157986937651344,-2.747147729055375,-0.304115184900397,0.9931
0.1,fegx,frozen,2048,-4.827543179164934,-5.892788113454996,-3.770323480159728,1.0
0.1,fegx,simple_residual,2048,-0.4845445330078632,-1.5358805833336826,0.5383151166007369,0.8185
0.25,fegx,frozen,2048,-9.3118374813113,-11.72835929761314,-7.028939247704927,1.0
0.25,fegx,simple_residual,2048,-3.2821179662424527,-5.236285273172595,-1.3981219928906337,0.9996
0.5,fegx,frozen,2048,-17.43044721891411,-22.95541304988413,-12.302235521064592,1.0
0.5,fegx,simple_residual,2048,-9.855207883027704,-15.080618796510784,-5.003679436780881,1.0
1.0,fegx,frozen,2048,-24.117740394657247,-31.168734176974908,-17.54171578870492,1.0
1.0,fegx,simple_residual,2048,-14.756493830268582,-21.43782517710031,-8.700329642673085,1.0
