calibration,coefficient,value
element_reference,mu_Z1,0.0
element_reference,mu_Z2,0.0
element_reference,mu_Z3,0.0
element_reference,mu_Z4,0.0
element_reference,mu_Z5,0.0
element_reference,mu_Z6,0.0
element_reference,mu_Z7,0.0
element_reference,mu_Z8,0.0
element_reference,mu_Z9,0.0
element_reference,mu_Z10,0.0
element_reference,mu_Z11,0.0
element_reference,mu_Z12,0.0
element_reference,mu_Z13,0.0
element_reference,mu_Z14,0.0
element_reference,mu_Z15,0.0
element_reference,mu_Z16,0.0
element_reference,mu_Z17,0.0
element_reference,mu_Z18,0.0
element_reference,mu_Z19,0.0
element_reference,mu_Z20,0.0
element_reference,mu_Z21,0.0
element_reference,mu_Z22,0.0
element_reference,mu_Z23,0.0
element_reference,mu_Z24,0.0
element_reference,mu_Z25,0.0
element_reference,mu_Z26,0.0
element_reference,mu_Z27,0.0
element_reference,mu_Z28,0.0
element_reference,mu_Z29,0.0
element_reference,mu_Z30,0.0
element_reference,mu_Z31,0.0
element_reference,mu_Z32,0.0
element_reference,mu_Z33,0.0
element_reference,mu_Z34,0.0
element_reference,mu_Z35,0.0
element_reference,mu_Z36,0.0
element_reference,mu_Z37,0.0
element_reference,mu_Z38,0.0
element_reference,mu_Z39,0.0
element_reference,mu_Z40,0.0
element_reference,mu_Z41,0.0
element_reference,mu_Z42,0.0
element_reference,mu_Z43,0.0
element_reference,mu_Z44,0.0
element_reference,mu_Z45,0.0
element_reference,mu_Z46,0.0
element_reference,mu_Z47,0.0
element_reference,mu_Z48,0.0
element_reference,mu_Z49,0.0
element_reference,mu_Z50,0.0
element_reference,mu_Z51,0.0
element_reference,mu_Z52,0.0
element_reference,mu_Z53,0.0
element_reference,mu_Z54,0.0
element_reference,mu_Z55,0.0
element_reference,mu_Z56,0.0
element_reference,mu_Z57,0.0
element_reference,mu_Z58,0.0
element_reference,mu_Z59,0.0
element_reference,mu_Z60,0.0
element_reference,mu_Z61,0.0
element_reference,mu_Z62,0.0
element_reference,mu_Z63,0.0
element_reference,mu_Z64,0.0
element_reference,mu_Z65,0.0
element_reference,mu_Z66,0.0
element_reference,mu_Z67,0.0
element_reference,mu_Z68,0.0
element_reference,mu_Z69,0.0
element_reference,mu_Z70,0.0
element_reference,mu_Z71,0.0
element_reference,mu_Z72,0.0
element_reference,mu_Z73,0.0
element_reference,mu_Z74,0.0
element_reference,mu_Z75,0.0
element_reference,mu_Z76,0.0
element_reference,mu_Z77,0.0
element_reference,mu_Z78,0.0
element_reference,mu_Z79,0.0
element_reference,mu_Z80,0.0
element_reference,mu_Z81,0.0
element_reference,mu_Z82,0.0
element_reference,mu_Z83,0.0
element_reference,mu_Z84,0.0
element_reference,mu_Z85,0.0
element_reference,mu_Z86,0.0
element_reference,mu_Z87,0.0
element_reference,mu_Z88,0.0
element_reference,mu_Z89,0.0
element_reference,mu_Z90,0.0
element_reference,mu_Z91,0.0
element_reference,mu_Z92,0.0
element_reference,mu_Z93,0.0
element_reference,mu_Z94,0.0
element_reference,mu_Z95,0.0
element_reference,mu_Z96,0.0
element_reference,mu_Z97,0.0
element_reference,mu_Z98,0.0
element_reference,mu_Z99,0.0
element_reference,mu_Z100,0.0
element_reference,mu_Z101,0.0
element_reference,mu_Z102,0.0
element_reference,mu_Z103,0.0
element_reference,mu_Z104,0.0
element_reference,mu_Z105,0.0
element_reference,mu_Z106,0.0
element_reference,mu_Z107,0.0
element_reference,mu_Z108,0.0
element_reference,mu_Z109,0.0
element_reference,mu_Z110,0.0
element_reference,mu_Z111,0.0
element_reference,mu_Z112,0.0
element_reference,mu_Z113,0.0
element_reference,mu_Z114,0.0
element_reference,mu_Z115,0.0
element_reference,mu_Z116,0.0
element_reference,mu_Z117,0.0
element_reference,mu_Z118,0.0
element_reference,bias,0.0
affine_energy_composition,alpha_energy,1.0
affine_energy_composition,beta_Z1,0.0
affine_energy_composition,beta_Z2,0.0
affine_energy_composition,beta_Z3,0.0
affine_energy_composition,beta_Z4,0.0
affine_energy_composition,beta_Z5,0.0
affine_energy_composition,beta_Z6,0.0
affine_energy_composition,beta_Z7,0.0
affine_energy_composition,beta_Z8,0.0
affine_energy_composition,beta_Z9,0.0
affine_energy_composition,beta_Z10,0.0
affine_energy_composition,beta_Z11,0.0
affine_energy_composition,beta_Z12,0.0
affine_energy_composition,beta_Z13,0.0
affine_energy_composition,beta_Z14,0.0
affine_energy_composition,beta_Z15,0.0
affine_energy_composition,beta_Z16,0.0
affine_energy_composition,beta_Z17,0.0
affine_energy_composition,beta_Z18,0.0
affine_energy_composition,beta_Z19,0.0
affine_energy_composition,beta_Z20,0.0
affine_energy_composition,beta_Z21,0.0
affine_energy_composition,beta_Z22,0.0
affine_energy_composition,beta_Z23,0.0
affine_energy_composition,beta_Z24,0.0
affine_energy_composition,beta_Z25,0.0
affine_energy_composition,beta_Z26,0.0
affine_energy_composition,beta_Z27,0.0
affine_energy_composition,beta_Z28,0.0
affine_energy_composition,beta_Z29,0.0
affine_energy_composition,beta_Z30,0.0
affine_energy_composition,beta_Z31,0.0
affine_energy_composition,beta_Z32,0.0
affine_energy_composition,beta_Z33,0.0
affine_energy_composition,beta_Z34,0.0
affine_energy_composition,beta_Z35,0.0
affine_energy_composition,beta_Z36,0.0
affine_energy_composition,beta_Z37,0.0
affine_energy_composition,beta_Z38,0.0
affine_energy_composition,beta_Z39,0.0
affine_energy_composition,beta_Z40,0.0
affine_energy_composition,beta_Z41,0.0
affine_energy_composition,beta_Z42,0.0
affine_energy_composition,beta_Z43,0.0
affine_energy_composition,beta_Z44,0.0
affine_energy_composition,beta_Z45,0.0
affine_energy_composition,beta_Z46,0.0
affine_energy_composition,beta_Z47,0.0
affine_energy_composition,beta_Z48,0.0
affine_energy_composition,beta_Z49,0.0
affine_energy_composition,beta_Z50,0.0
affine_energy_composition,beta_Z51,0.0
affine_energy_composition,beta_Z52,0.0
affine_energy_composition,beta_Z53,0.0
affine_energy_composition,beta_Z54,0.0
affine_energy_composition,beta_Z55,0.0
affine_energy_composition,beta_Z56,0.0
affine_energy_composition,beta_Z57,0.0
affine_energy_composition,beta_Z58,0.0
affine_energy_composition,beta_Z59,0.0
affine_energy_composition,beta_Z60,0.0
affine_energy_composition,beta_Z61,0.0
affine_energy_composition,beta_Z62,0.0
affine_energy_composition,beta_Z63,0.0
affine_energy_composition,beta_Z64,0.0
affine_energy_composition,beta_Z65,0.0
affine_energy_composition,beta_Z66,0.0
affine_energy_composition,beta_Z67,0.0
affine_energy_composition,beta_Z68,0.0
affine_energy_composition,beta_Z69,0.0
affine_energy_composition,beta_Z70,0.0
affine_energy_composition,beta_Z71,0.0
affine_energy_composition,beta_Z72,0.0
affine_energy_composition,beta_Z73,0.0
affine_energy_composition,beta_Z74,0.0
affine_energy_composition,beta_Z75,0.0
affine_energy_composition,beta_Z76,0.0
affine_energy_composition,beta_Z77,0.0
affine_energy_composition,beta_Z78,0.0
affine_energy_composition,beta_Z79,0.0
affine_energy_composition,beta_Z80,0.0
