calibration,coefficient,value
element_reference,mu_Z1,1.919752776539392
element_reference,mu_Z2,5.352637614714924
element_reference,mu_Z3,3.554450010685588
element_reference,mu_Z4,1.605118185337984
element_reference,mu_Z5,-1.3342496074598265
element_reference,mu_Z6,-3.852886751888167
element_reference,mu_Z7,-2.7493595098186403
element_reference,mu_Z8,1.033636851653578
element_reference,mu_Z9,3.941156287657493
element_reference,mu_Z10,0.0
element_reference,mu_Z11,4.120193589114972
element_reference,mu_Z12,3.7207776003173634
element_reference,mu_Z13,1.636827269538104
element_reference,mu_Z14,-0.14321236892612635
element_reference,mu_Z15,-0.014330453501512156
element_reference,mu_Z16,1.4636502463508743
element_reference,mu_Z17,3.761920009937277
element_reference,mu_Z18,0.0
element_reference,mu_Z19,4.30098740291193
element_reference,mu_Z20,3.4871067045580446
element_reference,mu_Z21,-0.8853514889283869
element_reference,mu_Z22,-2.5324337939565793
element_reference,mu_Z23,-3.0871809217264925
element_reference,mu_Z24,-3.757067447623167
element_reference,mu_Z25,-3.0399516301340705
element_reference,mu_Z26,-3.1113542319435608
element_reference,mu_Z27,-1.7390705833688131
element_reference,mu_Z28,-0.31381571983827833
element_reference,mu_Z29,1.2110395177041613
element_reference,mu_Z30,4.113161284798517
element_reference,mu_Z31,2.3394713764469683
element_reference,mu_Z32,0.716332047280313
element_reference,mu_Z33,0.8182099126926966
element_reference,mu_Z34,2.100671763705746
element_reference,mu_Z35,3.996812020669498
element_reference,mu_Z36,5.319361845788647
element_reference,mu_Z37,4.475266989322938
element_reference,mu_Z38,3.713552732764648
element_reference,mu_Z39,-1.017282304037024
element_reference,mu_Z40,-3.0909964404776336
element_reference,mu_Z41,-4.845639278942749
element_reference,mu_Z42,-5.219956755543615
element_reference,mu_Z43,-5.083534932062223
element_reference,mu_Z44,-3.9143048421464153
element_reference,mu_Z45,-1.9493261381579434
element_reference,mu_Z46,0.17361119117122298
element_reference,mu_Z47,2.470068154878639
element_reference,mu_Z48,4.44719685618443
element_reference,mu_Z49,2.7143911477982705
element_reference,mu_Z50,1.2966916412043912
element_reference,mu_Z51,1.2943227344412307
element_reference,mu_Z52,2.351095709238379
element_reference,mu_Z53,4.016162702961851
element_reference,mu_Z54,3.068410703190976
element_reference,mu_Z55,4.575948021040051
element_reference,mu_Z56,3.5396222460791273
element_reference,mu_Z57,0.5925977484983309
element_reference,mu_Z58,-0.31647175503199165
element_reference,mu_Z59,0.6719980330606435
element_reference,mu_Z60,0.7065139554858533
element_reference,mu_Z61,0.6596779458467001
element_reference,mu_Z62,0.7620059128978316
element_reference,mu_Z63,-4.998965737712905
element_reference,mu_Z64,-8.728991125249967
element_reference,mu_Z65,0.8240217842114234
element_reference,mu_Z66,0.952842707278091
element_reference,mu_Z67,0.862423135812018
element_reference,mu_Z68,0.9488291996393273
element_reference,mu_Z69,0.9936257824424997
element_reference,mu_Z70,3.9246094613843145
element_reference,mu_Z71,0.9881539167034713
element_reference,mu_Z72,-4.579919182979436
element_reference,mu_Z73,-6.532992716142729
element_reference,mu_Z74,-5.622975275346458
element_reference,mu_Z75,-7.156287832244596
element_reference,mu_Z76,-5.819093658303125
element_reference,mu_Z77,-3.520737156519517
element_reference,mu_Z78,-0.5877485982512015
element_reference,mu_Z79,2.1264572116653566
element_reference,mu_Z80,5.031822304655453
element_reference,mu_Z81,2.9918740760044042
element_reference,mu_Z82,1.6300095282139362
element_reference,mu_Z83,1.429279575074491
element_reference,mu_Z84,0.0
element_reference,mu_Z85,0.0
element_reference,mu_Z86,0.0
element_reference,mu_Z87,0.0
element_reference,mu_Z88,0.0
element_reference,mu_Z89,1.3306674981325717
element_reference,mu_Z90,-1.9665780686930878
element_reference,mu_Z91,-4.129828570721047
element_reference,mu_Z92,-5.5723397121398595
element_reference,mu_Z93,-6.599102140539999
element_reference,mu_Z94,-8.263688331158942
element_reference,mu_Z95,0.0
element_reference,mu_Z96,0.0
element_reference,mu_Z97,0.0
element_reference,mu_Z98,0.0
element_reference,mu_Z99,0.0
element_reference,mu_Z100,0.0
element_reference,mu_Z101,0.0
element_reference,mu_Z102,0.0
element_reference,mu_Z103,0.0
element_reference,mu_Z104,0.0
element_reference,mu_Z105,0.0
element_reference,mu_Z106,0.0
element_reference,mu_Z107,0.0
element_reference,mu_Z108,0.0
element_reference,mu_Z109,0.0
element_reference,mu_Z110,0.0
element_reference,mu_Z111,0.0
element_reference,mu_Z112,0.0
element_reference,mu_Z113,0.0
element_reference,mu_Z114,0.0
element_reference,mu_Z115,0.0
element_reference,mu_Z116,0.0
element_reference,mu_Z117,0.0
element_reference,mu_Z118,0.0
element_reference,bias,-5.360038126520934
affine_energy_composition,alpha_energy,0.9913510836785626
affine_energy_composition,beta_Z1,-1.898725283134485
affine_energy_composition,beta_Z2,-5.301340042171599
affine_energy_composition,beta_Z3,-3.5240528881507847
affine_energy_composition,beta_Z4,-1.5902652470610315
affine_energy_composition,beta_Z5,1.3221646432645766
affine_energy_composition,beta_Z6,3.826377900534636
affine_energy_composition,beta_Z7,2.722443544190903
affine_energy_composition,beta_Z8,-1.0490765011950383
affine_energy_composition,beta_Z9,-3.9353672366913504
affine_energy_composition,beta_Z10,0.0
affine_energy_composition,beta_Z11,-4.084953880012237
affine_energy_composition,beta_Z12,-3.681898174437335
affine_energy_composition,beta_Z13,-1.6219214469174097
affine_energy_composition,beta_Z14,0.13980019188541412
affine_energy_composition,beta_Z15,0.012772836665670605
affine_energy_composition,beta_Z16,-1.4612144408970875
affine_energy_composition,beta_Z17,-3.741807623515599
affine_energy_composition,beta_Z18,0.0
affine_energy_composition,beta_Z19,-4.264091757578142
affine_energy_composition,beta_Z20,-3.4602870181678314
affine_energy_composition,beta_Z21,0.8704754950050702
affine_energy_composition,beta_Z22,2.5035201287302535
affine_energy_composition,beta_Z23,3.0606148314513084
affine_energy_composition,beta_Z24,3.731676808368768
affine_energy_composition,beta_Z25,3.017131881020115
affine_energy_composition,beta_Z26,3.092385344844028
affine_energy_composition,beta_Z27,1.7311879674805672
affine_energy_composition,beta_Z28,0.3153123952510507
affine_energy_composition,beta_Z29,-1.1917217904824169
affine_energy_composition,beta_Z30,-4.072176225233134
affine_energy_composition,beta_Z31,-2.3169868323623555
affine_energy_composition,beta_Z32,-0.7093162218723357
affine_energy_composition,beta_Z33,-0.812483785754993
affine_energy_composition,beta_Z34,-2.0903969376017524
affine_energy_composition,beta_Z35,-3.972950179736906
affine_energy_composition,beta_Z36,-5.268311362711236
affine_energy_composition,beta_Z37,-4.43855785236583
affine_energy_composition,beta_Z38,-3.6862384025512758
affine_energy_composition,beta_Z39,1.0028783167189537
affine_energy_composition,beta_Z40,3.0598397564872157
affine_energy_composition,beta_Z41,4.8034556011415335
affine_energy_composition,beta_Z42,5.18726132602345
affine_energy_composition,beta_Z43,5.047497560425958
affine_energy_composition,beta_Z44,3.8851946536801703
affine_energy_composition,beta_Z45,1.9328945890238989
affine_energy_composition,beta_Z46,-0.1716039775797074
affine_energy_composition,beta_Z47,-2.440516201524035
affine_energy_composition,beta_Z48,-4.403130639356475
affine_energy_composition,beta_Z49,-2.6879760627962117
affine_energy_composition,beta_Z50,-1.2824644424171197
affine_energy_composition,beta_Z51,-1.280907985813481
affine_energy_composition,beta_Z52,-2.333232689041532
affine_energy_composition,beta_Z53,-3.986547368705745
affine_energy_composition,beta_Z54,-2.919497574108495
affine_energy_composition,beta_Z55,-4.536564009126896
affine_energy_composition,beta_Z56,-3.5160876043968226
affine_energy_composition,beta_Z57,-0.5973048245359099
affine_energy_composition,beta_Z58,0.30125708841609145
affine_energy_composition,beta_Z59,-0.670480263078948
affine_energy_composition,beta_Z60,-0.7052296178527261
affine_energy_composition,beta_Z61,-0.6521972815584046
affine_energy_composition,beta_Z62,-0.7615482580672068
affine_energy_composition,beta_Z63,4.94625218980271
affine_energy_composition,beta_Z64,8.646088447972263
affine_energy_composition,beta_Z65,-0.8211144728851845
affine_energy_composition,beta_Z66,-0.9525940247545382
affine_energy_composition,beta_Z67,-0.8598047900315805
affine_energy_composition,beta_Z68,-0.9486615919455524
affine_energy_composition,beta_Z69,-0.990270201107191
affine_energy_composition,beta_Z70,-3.886646318301298
affine_energy_composition,beta_Z71,-0.987175041190743
affine_energy_composition,beta_Z72,4.533847594600704
affine_energy_composition,beta_Z73,6.476019135098659
affine_energy_composition,beta_Z74,5.584285885465107
affine_energy_composition,beta_Z75,7.102056845817263
affine_energy_composition,beta_Z76,5.778190767579364
affine_energy_composition,beta_Z77,3.492768358076544
affine_energy_composition,beta_Z78,0.5796417564763298
affine_energy_composition,beta_Z79,-2.1058859319620806
affine_energy_composition,beta_Z80,-4.981140283110741
