model,split_scope,target_id,target_formula,target_reduced_formula,target_chemical_system,target_natoms,source_id,source_formula,source_reduced_formula,source_chemical_system,source_natoms,overlap_kind,source_note
MEGNet,test,mb-mp-e-form-110822,ZnFe(SiO3)2,ZnFe(SiO3)2,Fe-O-Si-Zn,80,mvc-6883,Zn8 Fe8 Si16 O48,ZnFe(SiO3)2,Fe-O-Si-Zn,80,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-080863,Ba(SnO2)4,Ba(SnO2)4,Ba-O-Sn,13,mvc-600,Ba1 Sn4 O8,Ba(SnO2)4,Ba-O-Sn,13,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-115880,MgMnP2O7,MgMnP2O7,Mg-Mn-O-P,22,mvc-6952,Mg2 Mn2 P4 O14,MgMnP2O7,Mg-Mn-O-P,22,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-119345,CaCrP2O7,CaCrP2O7,Ca-Cr-O-P,22,mvc-11955,Ca2 Cr2 P4 O14,CaCrP2O7,Ca-Cr-O-P,22,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,val,mb-mp-e-form-082857,Ba2AlW3O8,Ba2AlW3O8,Al-Ba-O-W,14,mvc-1149,Ba2 Al1 W3 O8,Ba2AlW3O8,Al-Ba-O-W,14,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-114877,MgVP2O7,MgVP2O7,Mg-O-P-V,22,mvc-6970,Mg2 V2 P4 O14,MgVP2O7,Mg-O-P-V,22,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-074816,CaWO2,CaWO2,Ca-O-W,16,mvc-5312,Ca4 W4 O8,CaWO2,Ca-O-W,16,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,val,mb-mp-e-form-123744,CaTi5O7,CaTi5O7,Ca-O-Ti,26,mvc-2210,Ca2 Ti10 O14,CaTi5O7,Ca-O-Ti,26,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-113747,Ca2AlCuO5,Ca2AlCuO5,Al-Ca-Cu-O,18,mvc-4889,Ca4 Al2 Cu2 O10,Ca2AlCuO5,Al-Ca-Cu-O,18,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-076831,V2Zn(CuO4)2,V2Zn(CuO4)2,Cu-O-V-Zn,52,mvc-10435,V8 Zn4 Cu8 O32,V2Zn(CuO4)2,Cu-O-V-Zn,52,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,test,mb-mp-e-form-062915,Ca(Ni2O3)2,Ca(Ni2O3)2,Ca-Ni-O,22,mvc-882,Ca2 Ni8 O12,Ca(Ni2O3)2,Ca-Ni-O,22,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-058927,Zn(NiO2)2,Zn(NiO2)2,Ni-O-Zn,14,mvc-15440,Zn2 Ni4 O8,Zn(NiO2)2,Ni-O-Zn,14,structure_matcher,source JSON material_id namespace differs from matbench target IDs
