id,formula,reduced_formula,target_chemical_system,source_structure_seen,source_formula_seen,source_chemical_system_seen
mb-mp-e-form-000072,Y2CdIn,Y2CdIn,Cd-In-Y,False,False,False
mb-mp-e-form-000129,CrSnRh2,CrSnRh2,Cr-Rh-Sn,False,True,True
mb-mp-e-form-000292,MnZn2Co,MnZn2Co,Co-Mn-Zn,False,False,False
mb-mp-e-form-000317,LiPd2Au,LiPd2Au,Au-Li-Pd,False,False,True
mb-mp-e-form-000388,Y2InHg,Y2InHg,Hg-In-Y,False,False,False
mb-mp-e-form-000522,Sc2InAu,Sc2InAu,Au-In-Sc,False,False,True
mb-mp-e-form-000698,IN5,IN5,I-N,False,False,True
mb-mp-e-form-000903,KMnRu,KMnRu,K-Mn-Ru,True,True,True
mb-mp-e-form-000907,AlB2Pb,AlB2Pb,Al-B-Pb,True,True,True
mb-mp-e-form-000932,GeC,GeC,C-Ge,True,True,True
mb-mp-e-form-000966,CeMg,CeMg,Ce-Mg,False,True,True
mb-mp-e-form-001000,KC2,KC2,C-K,False,False,True
mb-mp-e-form-001020,Zn(BrN)2,Zn(BrN)2,Br-N-Zn,False,False,False
mb-mp-e-form-001050,BaSrMg2,BaSrMg2,Ba-Mg-Sr,False,False,False
mb-mp-e-form-001230,ScZnHg2,ScZnHg2,Hg-Sc-Zn,False,False,False
mb-mp-e-form-001292,TlSnPb2,TlSnPb2,Pb-Sn-Tl,False,False,False
mb-mp-e-form-001296,Ca2MgHg,Ca2MgHg,Ca-Hg-Mg,False,False,True
mb-mp-e-form-001500,CuCS,CuCS,C-Cu-S,False,False,False
mb-mp-e-form-001620,Li8Hf3,Li8Hf3,Hf-Li,False,False,True
mb-mp-e-form-001681,Tb2Te3,Tb2Te3,Tb-Te,False,False,True
mb-mp-e-form-001695,Pr2(NiAs)3,Pr2(NiAs)3,As-Ni-Pr,False,False,True
mb-mp-e-form-001708,TbSeI,TbSeI,I-Se-Tb,False,False,False
mb-mp-e-form-001773,Au3Br8N3,Au3Br8N3,Au-Br-N,False,False,False
mb-mp-e-form-001798,Cu2HgI4,Cu2HgI4,Cu-Hg-I,False,True,True
mb-mp-e-form-001829,SrCrW2,SrCrW2,Cr-Sr-W,True,True,True
