formula,id_i,id_j,true_E_i_ev_atom,true_E_j_ev_atom,delta_true_mev_atom,near_degenerate,near_degenerate_threshold_mev_atom
BaFe4Sn2O11,mb-mp-e-form-087244,mb-mp-e-form-089238,-2.085237482430555,-2.125977976875,40.74049444444494,False,25.0
Bi2Pt,mb-mp-e-form-020960,mb-mp-e-form-022696,-0.2256421399999995,-0.2357872683333326,10.145128333333114,True,25.0
CdI2,mb-mp-e-form-041501,mb-mp-e-form-041645,-0.5914005616666668,-0.5920253888095239,0.624827142857165,True,25.0
CdI2,mb-mp-e-form-041501,mb-mp-e-form-041651,-0.5914005616666668,-0.5910573266666667,-0.3432350000001083,True,25.0
CdI2,mb-mp-e-form-041501,mb-mp-e-form-041679,-0.5914005616666668,-0.5856110766666666,-5.789485000000205,True,25.0
CdI2,mb-mp-e-form-041645,mb-mp-e-form-041651,-0.5920253888095239,-0.5910573266666667,-0.9680621428572733,True,25.0
CdI2,mb-mp-e-form-041645,mb-mp-e-form-041679,-0.5920253888095239,-0.5856110766666666,-6.41431214285737,True,25.0
CdI2,mb-mp-e-form-041651,mb-mp-e-form-041679,-0.5910573266666667,-0.5856110766666666,-5.446250000000097,True,25.0
CeSe2,mb-mp-e-form-059009,mb-mp-e-form-064916,-1.0857276705208332,-1.3496477003124998,263.9200297916666,False,25.0
CeSe2,mb-mp-e-form-059009,mb-mp-e-form-068917,-1.0857276705208332,-1.5310963873958332,445.368716875,False,25.0
CeSe2,mb-mp-e-form-064916,mb-mp-e-form-068917,-1.3496477003124998,-1.5310963873958332,181.4486870833334,False,25.0
Cr(GeO3)2,mb-mp-e-form-083795,mb-mp-e-form-084792,-1.9696854836111104,-1.9769111569444449,7.225673333334459,True,25.0
CrN2,mb-mp-e-form-009943,mb-mp-e-form-010944,0.0404547525800017,0.0230702850800028,17.384467499998905,True,25.0
CrN2,mb-mp-e-form-009943,mb-mp-e-form-016033,0.0404547525800017,-0.1065574482533325,147.01220083333422,False,25.0
CrN2,mb-mp-e-form-009943,mb-mp-e-form-016039,0.0404547525800017,-0.0952450333459277,135.6997859259294,False,25.0
CrN2,mb-mp-e-form-010944,mb-mp-e-form-016033,0.0230702850800028,-0.1065574482533325,129.6277333333353,False,25.0
CrN2,mb-mp-e-form-010944,mb-mp-e-form-016039,0.0230702850800028,-0.0952450333459277,118.31531842593049,False,25.0
CrN2,mb-mp-e-form-016033,mb-mp-e-form-016039,-0.1065574482533325,-0.0952450333459277,-11.312414907404811,True,25.0
FeHO2,mb-mp-e-form-069585,mb-mp-e-form-072717,-1.5144450085612498,-1.6279971352800002,113.55212671875049,False,25.0
GaCuTe2,mb-mp-e-form-015777,mb-mp-e-form-024640,-0.0763263712499999,-0.2811921962499997,204.86582499999977,False,25.0
Li2Cr2O7,mb-mp-e-form-079727,mb-mp-e-form-079736,-1.839617098522728,-1.8440470439772727,4.42994545454467,True,25.0
Li2Cr2O7,mb-mp-e-form-079727,mb-mp-e-form-081095,-1.839617098522728,-1.881557240340909,41.94014181818106,False,25.0
Li2Cr2O7,mb-mp-e-form-079736,mb-mp-e-form-081095,-1.8440470439772727,-1.881557240340909,37.510196363636396,False,25.0
Li2MnCoO4,mb-mp-e-form-080953,mb-mp-e-form-081926,-1.909790318245,-1.9122746294949995,2.4843112499994824,True,25.0
Li2MnNi3O8,mb-mp-e-form-064731,mb-mp-e-form-065743,-1.305772147211428,-1.3346668272114286,28.894680000000506,False,25.0
Li3MnCoO5,mb-mp-e-form-081951,mb-mp-e-form-083944,-1.927938160720999,-1.976597711220999,48.65955049999982,False,25.0
Li3MnV(PO4)3,mb-mp-e-form-108909,mb-mp-e-form-111611,-2.6064833589944287,-2.6486597023694274,42.17634337499865,False,25.0
Li4MnCo2O7,mb-mp-e-form-078985,mb-mp-e-form-079014,-1.8535978481935709,-1.841821685336427,-11.77616285714378,True,25.0
Li4V3P8O29,mb-mp-e-form-108520,mb-mp-e-form-108535,-2.585848676440748,-2.589716668372566,3.867991931818082,True,25.0
Li4V3P8O29,mb-mp-e-form-108520,mb-mp-e-form-108629,-2.585848676440748,-2.585738273713474,-0.11040272727358413,True,25.0
Li4V3P8O29,mb-mp-e-form-108535,mb-mp-e-form-108629,-2.589716668372566,-2.585738273713474,-3.9783946590916663,True,25.0
Li5V3P8O29,mb-mp-e-form-109932,mb-mp-e-form-110543,-2.632783628742064,-2.628535774075398,-4.247854666666218,True,25.0
Li7Mn2(CoO4)3,mb-mp-e-form-081962,mb-mp-e-form-082027,-1.9132336023716665,-1.930359491121666,17.12588874999943,True,25.0
Li7Mn4CoO12,mb-mp-e-form-085958,mb-mp-e-form-085997,-2.054434806201666,-2.047690330368333,-6.744475833333041,True,25.0
Li7Mn4CoO12,mb-mp-e-form-085958,mb-mp-e-form-086952,-2.054434806201666,-2.078396972035,23.962165833334215,True,25.0
Li7Mn4CoO12,mb-mp-e-form-085997,mb-mp-e-form-086952,-2.047690330368333,-2.078396972035,30.706641666667256,False,25.0
Li7V3P8O29,mb-mp-e-form-112987,mb-mp-e-form-113491,-2.6989261752849543,-2.6999707075189976,1.0445322340433272,True,25.0
Li9Mn2Co5O16,mb-mp-e-form-077294,mb-mp-e-form-077935,-1.8071034778725,-1.83048957756,23.386099687500163,True,25.0
Li9Mn2Co5O16,mb-mp-e-form-077294,mb-mp-e-form-078150,-1.8071034778725,-1.81778921381,10.685735937500107,True,25.0
Li9Mn2Co5O16,mb-mp-e-form-077294,mb-mp-e-form-078891,-1.8071034778725,-1.8370078216225,29.904343750000173,False,25.0
Li9Mn2Co5O16,mb-mp-e-form-077294,mb-mp-e-form-079108,-1.8071034778725,-1.853685329747499,46.58185187499919,False,25.0
Li9Mn2Co5O16,mb-mp-e-form-077294,mb-mp-e-form-080138,-1.8071034778725,-1.868386694435,61.28321656250013,False,25.0
Li9Mn2Co5O16,mb-mp-e-form-077294,mb-mp-e-form-080157,-1.8071034778725,-1.8688963041225,61.79282625000005,False,25.0
Li9Mn2Co5O16,mb-mp-e-form-077294,mb-mp-e-form-080166,-1.8071034778725,-1.8582940819349991,51.190604062499204,False,25.0
Li9Mn2Co5O16,mb-mp-e-form-077935,mb-mp-e-form-078150,-1.83048957756,-1.81778921381,-12.700363750000054,True,25.0
Li9Mn2Co5O16,mb-mp-e-form-077935,mb-mp-e-form-078891,-1.83048957756,-1.8370078216225,6.5182440625000115,True,25.0
