id,formula,cif_path,split,y_true,canonical_reference_prediction,canonical_reference_col,natoms,nelements
mb-mp-e-form-090598,Li4Co3Ni3(PO4)6,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-090598.cif,train,-2.147469428321429,-2.072819685303995,pred_affine_energy_composition,40,5
mb-mp-e-form-127644,Li5Ti12O24,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-127644.cif,train,-3.2634477117073177,-3.364147152235732,pred_affine_energy_composition,41,3
mb-mp-e-form-037185,Al9Ir2,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-037185.cif,train,-0.5152909995454539,-0.4445314041825767,pred_affine_energy_composition,22,2
mb-mp-e-form-109201,Sr2CoWO6,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-109201.cif,train,-2.6150670905,-2.248177040945908,pred_affine_energy_composition,10,4
mb-mp-e-form-073363,LiHoSe2,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-073363.cif,train,-1.680186983046875,-1.679378075118005,pred_affine_energy_composition,8,3
mb-mp-e-form-075801,YBiO3,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-075801.cif,train,-1.7175577277499996,-1.862768406681485,pred_affine_energy_composition,5,3
mb-mp-e-form-055202,NiH9C4(NO2)3,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-055202.cif,train,-0.9571769549878254,-0.8855674814071399,pred_affine_energy_composition,92,5
mb-mp-e-form-050851,LiSm(CuP)2,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-050851.cif,train,-0.8025117844642858,-0.7552165434366369,pred_affine_energy_composition,6,4
mb-mp-e-form-132489,SmTh4O10,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-132489.cif,train,-4.136365133666667,-4.193394357984288,pred_affine_energy_composition,15,3
mb-mp-e-form-118275,BaMg2V2O8,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-118275.cif,train,-2.878354352692308,-2.8131441651424955,pred_affine_energy_composition,52,4
mb-mp-e-form-126085,NaAlSi3O8,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-126085.cif,train,-3.224330112692308,-3.288242880683385,pred_affine_energy_composition,26,4
mb-mp-e-form-075256,Np(IO3)2,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-075256.cif,train,-1.716429942083333,-1.8933098436743536,pred_affine_energy_composition,36,3
mb-mp-e-form-015970,Li(Mg2Si)2,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-015970.cif,train,-0.0914353757142859,-0.094305717133758,pred_affine_energy_composition,7,3
mb-mp-e-form-089707,Ti2N2O,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-089707.cif,train,-2.144020997868666,-2.0653645301051755,pred_affine_energy_composition,40,3
mb-mp-e-form-076291,CsNa5(FeO3)2,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-076291.cif,train,-1.75468017169335,-1.5169718823350156,pred_affine_energy_composition,56,4
mb-mp-e-form-114654,LiV2(OF)3,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-114654.cif,train,-2.7354888887762963,-2.656375291795423,pred_affine_energy_composition,27,4
mb-mp-e-form-132043,NaPrF4,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-132043.cif,train,-3.968503733293333,-4.024905210373036,pred_affine_energy_composition,18,3
mb-mp-e-form-011906,Sr3Yb,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-011906.cif,train,0.0263590225000001,-0.0059711066591239,pred_affine_energy_composition,4,2
mb-mp-e-form-116015,Na5Pr4Ge4O16F,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-116015.cif,train,-2.798868930706333,-2.8848347036337048,pred_affine_energy_composition,30,5
mb-mp-e-form-113702,Li2V2(PO4)3,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-113702.cif,train,-2.7068858141541354,-2.7260033841465097,pred_affine_energy_composition,76,4
mb-mp-e-form-039976,NdCuSn,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-039976.cif,train,-0.5724872608333319,-0.5151551373877128,pred_affine_energy_composition,6,3
mb-mp-e-form-032163,Ba3(Ge4Rh)4,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-032163.cif,train,-0.41160891173913,-0.3707868306059847,pred_affine_energy_composition,23,3
mb-mp-e-form-045962,In2Rh3S2,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-045962.cif,train,-0.6904441563988105,-0.6562267248853706,pred_affine_energy_composition,7,3
mb-mp-e-form-064082,TmH9C5(NO4)2,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-064082.cif,train,-1.3203433046435995,-1.3395814021534242,pred_affine_energy_composition,25,5
mb-mp-e-form-075052,BaSrI4,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-075052.cif,train,-1.7331569191666667,-1.6732738504735751,pred_affine_energy_composition,12,3
mb-mp-e-form-038954,Te4Mo3W(SeS)2,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-038954.cif,train,-0.5557891335677082,-0.718893078173199,pred_affine_energy_composition,12,5
mb-mp-e-form-023250,CsTmH3,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-023250.cif,train,-0.2519187524133794,-0.2258760041067429,pred_affine_energy_composition,5,3
mb-mp-e-form-030267,Tm12Al7Si,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-030267.cif,train,-0.3754059669999997,-0.3870244404747032,pred_affine_energy_composition,40,3
mb-mp-e-form-017613,S4(BrN)3,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-017613.cif,train,-0.121504793839,-0.1067731001580272,pred_affine_energy_composition,40,3
mb-mp-e-form-047778,K(Zr3I7)4,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-047778.cif,train,-0.7159898001341466,-0.6986884605660686,pred_affine_energy_composition,164,3
mb-mp-e-form-104595,Li3P3(WO6)2,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-104595.cif,train,-2.4929550571964283,-2.3047269926017133,pred_affine_energy_composition,80,4
mb-mp-e-form-072788,NpOsO3,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-072788.cif,train,-1.6282889275000016,-1.7844319942142484,pred_affine_energy_composition,5,3
mb-mp-e-form-094689,LiCo3(SiO4)2,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-094689.cif,train,-2.250469566190476,-2.0532051040303214,pred_affine_energy_composition,42,4
mb-mp-e-form-055242,CsH6Rh(N3O4)2,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-055242.cif,train,-0.9596311872594044,-1.0245102779817126,pred_affine_energy_composition,88,5
mb-mp-e-form-039447,GaGe3Rh4,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-039447.cif,train,-0.5483619256249996,-0.5119640100144949,pred_affine_energy_composition,8,3
mb-mp-e-form-006445,LiBeB,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-006445.cif,train,0.1859606952777775,0.1010877215830117,pred_affine_energy_composition,12,3
mb-mp-e-form-075829,CsMg6CO8,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-075829.cif,train,-1.779089108434806,-1.8732628718591904,pred_affine_energy_composition,16,4
mb-mp-e-form-088480,U3Cu2H10(CO10)2,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-088480.cif,train,-2.1083164734783777,-2.1912772809019074,pred_affine_energy_composition,37,5
mb-mp-e-form-102249,Na4Li5(BO3)3,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-102249.cif,train,-2.450019115297618,-2.566172395724858,pred_affine_energy_composition,42,4
mb-mp-e-form-053183,CoSn(OF)6,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-053183.cif,train,-0.872809042831428,-1.0595077528450432,pred_affine_energy_composition,28,4
mb-mp-e-form-068467,Gd(IO3)3,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-068467.cif,train,-1.4874248929807692,-1.7117095477106847,pred_affine_energy_composition,52,3
mb-mp-e-form-052002,Tb4InGe4Rh,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-052002.cif,train,-0.8526124941666673,-0.8102348916960942,pred_affine_energy_composition,20,4
mb-mp-e-form-037538,Eu(BIr)4,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-037538.cif,train,-0.4993769279629624,-0.4320751189838994,pred_affine_energy_composition,18,3
mb-mp-e-form-087511,Dy2(BiO2)7,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-087511.cif,train,-2.083966280108696,-2.1954544076638127,pred_affine_energy_composition,23,3
mb-mp-e-form-054443,Cd10Ga5Cu(AgS5)4,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-054443.cif,train,-0.9042369402812508,-0.8376294993377584,pred_affine_energy_composition,80,5
mb-mp-e-form-083728,Ca9La5Br33,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-083728.cif,train,-1.9417562120212768,-1.9010641298718567,pred_affine_energy_composition,94,3
mb-mp-e-form-035289,Lu3Ni11Ge4,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-035289.cif,train,-0.4697962422222225,-0.5402322166298967,pred_affine_energy_composition,36,3
mb-mp-e-form-029674,K3Bi,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-029674.cif,train,-0.3655535772499998,-0.2772853675815598,pred_affine_energy_composition,8,2
mb-mp-e-form-119816,Mg14TiAlO16,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-119816.cif,train,-2.927722969583333,-2.964760911611166,pred_affine_energy_composition,32,4
mb-mp-e-form-059232,ZnS,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-059232.cif,train,-1.0890688014756944,-1.0795857188282223,pred_affine_energy_composition,36,2
mb-mp-e-form-087886,Rb2RhAuF6,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-087886.cif,train,-2.115767492782966,-2.219565380359607,pred_affine_energy_composition,10,4
mb-mp-e-form-034622,LiGa3Te5,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-034622.cif,train,-0.4497299322222226,-0.397883801880722,pred_affine_energy_composition,36,3
mb-mp-e-form-019615,Bi4Te3,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-019615.cif,train,-0.1632133985714285,-0.0565836142505045,pred_affine_energy_composition,7,2
mb-mp-e-form-047312,Rb3Au3I8,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-047312.cif,train,-0.7080555029310344,-0.6752649182296855,pred_affine_energy_composition,28,3
mb-mp-e-form-047939,Te2MoW3(SeS2)2,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-047939.cif,train,-0.7413232921614584,-0.930607847158238,pred_affine_energy_composition,12,5
mb-mp-e-form-030978,CeZnNi,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-030978.cif,train,-0.3952873827777776,-0.4388047787457143,pred_affine_energy_composition,9,3
mb-mp-e-form-053715,H3ClO5,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-053715.cif,train,-0.8914195750411094,-1.071068810649833,pred_affine_energy_composition,36,3
mb-mp-e-form-011963,Mg6GaNi,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-011963.cif,train,-0.00577626375,-0.0006153459621414,pred_affine_energy_composition,8,3
mb-mp-e-form-040122,NbIr3,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-040122.cif,train,-0.5648145380357139,-0.4872384429158156,pred_affine_energy_composition,8,2
mb-mp-e-form-023392,MgMn3Te4,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-023392.cif,train,-0.2658547787499996,-0.3498558397398188,pred_affine_energy_composition,8,3
mb-mp-e-form-095255,Ba2PdO3,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-095255.cif,train,-2.289411622291667,-2.389301641321649,pred_affine_energy_composition,6,3
mb-mp-e-form-055395,In2AgS3Cl,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-055395.cif,train,-0.949852016730596,-0.9067583671822312,pred_affine_energy_composition,14,4
mb-mp-e-form-089859,CaU2(PO2)2,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-089859.cif,train,-2.167198427698412,-2.2054048215090205,pred_affine_energy_composition,9,4
mb-mp-e-form-122054,Sr8Li2B22H2O43,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-122054.cif,train,-3.0060168681513857,-3.075242957501118,pred_affine_energy_composition,77,5
mb-mp-e-form-050156,CeGePd2,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-050156.cif,train,-0.8090427162499996,-0.7840664872567231,pred_affine_energy_composition,16,3
mb-mp-e-form-102185,Dy2S3,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-102185.cif,train,-2.447070507187501,-2.3290770188958643,pred_affine_energy_composition,40,2
