id,formula,cif_path,split,y_true,canonical_reference_prediction,canonical_reference_col,natoms,nelements
mb-mp-e-form-090598,Li4Co3Ni3(PO4)6,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-090598.cif,train,-2.147469428321429,-2.17245330393679,pred_affine_energy_composition,40,5
mb-mp-e-form-127644,Li5Ti12O24,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-127644.cif,train,-3.2634477117073177,-3.319427854985194,pred_affine_energy_composition,41,3
mb-mp-e-form-037185,Al9Ir2,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-037185.cif,train,-0.5152909995454539,-0.5240463640643901,pred_affine_energy_composition,22,2
mb-mp-e-form-109201,Sr2CoWO6,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-109201.cif,train,-2.6150670905,-2.4391291394654253,pred_affine_energy_composition,10,4
mb-mp-e-form-073363,LiHoSe2,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-073363.cif,train,-1.680186983046875,-1.6304125063039605,pred_affine_energy_composition,8,3
mb-mp-e-form-075801,YBiO3,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-075801.cif,train,-1.7175577277499996,-1.7190549793887144,pred_affine_energy_composition,5,3
mb-mp-e-form-055202,NiH9C4(NO2)3,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-055202.cif,train,-0.9571769549878254,-0.9889136812613716,pred_affine_energy_composition,92,5
mb-mp-e-form-050851,LiSm(CuP)2,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-050851.cif,train,-0.8025117844642858,-0.7502664432224848,pred_affine_energy_composition,6,4
mb-mp-e-form-132489,SmTh4O10,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-132489.cif,train,-4.136365133666667,-4.14744851959087,pred_affine_energy_composition,15,3
mb-mp-e-form-118275,BaMg2V2O8,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-118275.cif,train,-2.878354352692308,-2.9556888501513496,pred_affine_energy_composition,52,4
mb-mp-e-form-126085,NaAlSi3O8,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-126085.cif,train,-3.224330112692308,-3.228026494627195,pred_affine_energy_composition,26,4
mb-mp-e-form-075256,Np(IO3)2,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-075256.cif,train,-1.716429942083333,-1.867833953010981,pred_affine_energy_composition,36,3
mb-mp-e-form-015970,Li(Mg2Si)2,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-015970.cif,train,-0.0914353757142859,-0.0247969606202706,pred_affine_energy_composition,7,3
mb-mp-e-form-089707,Ti2N2O,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-089707.cif,train,-2.144020997868666,-2.1583121672304064,pred_affine_energy_composition,40,3
mb-mp-e-form-076291,CsNa5(FeO3)2,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-076291.cif,train,-1.75468017169335,-1.6212694967558003,pred_affine_energy_composition,56,4
mb-mp-e-form-114654,LiV2(OF)3,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-114654.cif,train,-2.7354888887762963,-2.734821219778947,pred_affine_energy_composition,27,4
mb-mp-e-form-132043,NaPrF4,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-132043.cif,train,-3.968503733293333,-3.973764256100264,pred_affine_energy_composition,18,3
mb-mp-e-form-011906,Sr3Yb,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-011906.cif,train,0.0263590225000001,-0.0139395230822513,pred_affine_energy_composition,4,2
mb-mp-e-form-116015,Na5Pr4Ge4O16F,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-116015.cif,train,-2.798868930706333,-2.806839788699789,pred_affine_energy_composition,30,5
mb-mp-e-form-113702,Li2V2(PO4)3,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-113702.cif,train,-2.7068858141541354,-2.71785969912287,pred_affine_energy_composition,76,4
mb-mp-e-form-039976,NdCuSn,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-039976.cif,train,-0.5724872608333319,-0.416932036908917,pred_affine_energy_composition,6,3
mb-mp-e-form-032163,Ba3(Ge4Rh)4,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-032163.cif,train,-0.41160891173913,-0.4279090337383408,pred_affine_energy_composition,23,3
mb-mp-e-form-045962,In2Rh3S2,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-045962.cif,train,-0.6904441563988105,-0.6041092673230164,pred_affine_energy_composition,7,3
mb-mp-e-form-064082,TmH9C5(NO4)2,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-064082.cif,train,-1.3203433046435995,-1.3357605711808045,pred_affine_energy_composition,25,5
mb-mp-e-form-075052,BaSrI4,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-075052.cif,train,-1.7331569191666667,-1.7473570006582309,pred_affine_energy_composition,12,3
mb-mp-e-form-038954,Te4Mo3W(SeS)2,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-038954.cif,train,-0.5557891335677082,-0.55541457941355,pred_affine_energy_composition,12,5
