id,source,split,cif_path,y_true,formula,natoms,structure_failure
mb-mp-e-form-055202,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-055202.cif,-0.9571769549878254,NiH9C4(NO2)3,92,
mb-mp-e-form-132489,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-132489.cif,-4.136365133666667,SmTh4O10,15,
mb-mp-e-form-114654,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-114654.cif,-2.7354888887762963,LiV2(OF)3,27,
mb-mp-e-form-116015,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-116015.cif,-2.798868930706333,Na5Pr4Ge4O16F,30,
mb-mp-e-form-039976,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-039976.cif,-0.5724872608333319,NdCuSn,6,
mb-mp-e-form-047778,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-047778.cif,-0.7159898001341466,K(Zr3I7)4,164,
mb-mp-e-form-037538,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-037538.cif,-0.4993769279629624,Eu(BIr)4,18,
mb-mp-e-form-095255,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-095255.cif,-2.289411622291667,Ba2PdO3,6,
mb-mp-e-form-073491,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-073491.cif,-1.650849915232,BeH8(NF2)2,60,
mb-mp-e-form-052933,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-052933.cif,-0.8672056438461531,MgCu2(NiO4)2,52,
mb-mp-e-form-122123,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-122123.cif,-2.9868674845000003,Ca2ScReO6,20,
mb-mp-e-form-125607,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-125607.cif,-3.1519522387140007,Li3VF6,20,
mb-mp-e-form-033656,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-033656.cif,-0.4331249810000003,Ho(CrSi)2,5,
mb-mp-e-form-006307,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-006307.cif,0.2147526218181813,Mg4Si7,22,
mb-mp-e-form-124155,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-124155.cif,-3.0841421273958325,Ca4TiSi4Sn3O20,32,
mb-mp-e-form-009979,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-009979.cif,0.0524758231250004,Mg6CoSb,8,
mb-mp-e-form-076219,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-076219.cif,-1.7770284115476196,In(PO4)3,32,
mb-mp-e-form-019569,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-019569.cif,-0.1840690968571429,Zn3P2,40,
mb-mp-e-form-001295,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-001295.cif,1.3033686299999996,Mg2GaPd,4,
mb-mp-e-form-011182,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-011182.cif,0.0256365825,CaC2,6,
mb-mp-e-form-009182,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-009182.cif,0.0768420981250002,Mg14AlV,16,
mb-mp-e-form-117408,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-117408.cif,-2.844454927385532,Al(PO3)3,78,
mb-mp-e-form-101484,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-101484.cif,-2.43254353875,Li2VCrO4,16,
mb-mp-e-form-082217,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-082217.cif,-1.9137797374600003,NaBrF4,12,
mb-mp-e-form-103280,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-103280.cif,-2.468013722622504,Cs4UC3O11,38,
mb-mp-e-form-097762,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-097762.cif,-2.375336336428571,Zn2SiO4,28,
mb-mp-e-form-060304,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-060304.cif,-1.1479157896938883,ZnCu15H24(ClO3)8,72,
mb-mp-e-form-028165,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-028165.cif,-0.3434675916666674,HfFe2,24,
mb-mp-e-form-047993,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-047993.cif,-0.7460604058333326,ZnO2,3,
mb-mp-e-form-025823,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-025823.cif,-0.3033291041666666,Li2AcPb,4,
mb-mp-e-form-125256,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-125256.cif,-3.125673348303571,ZrP2O7,40,
mb-mp-e-form-104274,matbench_mp_e_form,train,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/dataset/cifs/mb-mp-e-form-104274.cif,-2.5052116592346936,NaZnPO4,28,
