id,formula,cif_path,split,y_true,model_energy_per_atom,pred_element_reference,pred_affine_energy_composition,pred_composition_only_linear,natoms,nelements
mp-1102378,NdRe2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1102378.cif,train,-0.0110741149999948,-9.849802017211914,0.1079362703033233,0.1073350766106724,0.3170836074961791,12,2
mp-1226644,CeAl2Cu3,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1226644.cif,train,-0.3980936016666684,-4.648127555847168,-0.3934005807912681,-0.3935652295312009,-0.3361214610296731,6,3
mp-2067,ThGa2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-2067.cif,train,-0.7449632983333316,-5.125533739725749,-0.6839954931359218,-0.683597675404684,-0.8223910222224038,6,2
mp-866281,Er2PdRu,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-866281.cif,train,-0.7369339729166668,-6.597249507904053,-0.7616571033899096,-0.7612659329278726,-0.8977401354012138,4,3
mp-23262,Bi2O3,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-23262.cif,train,-1.3195672397500005,-5.743766784667969,-1.5649453918791565,-1.563758224967577,-1.9779450646857768,20,2
mp-1106363,Ho3Sb4Au3,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1106363.cif,train,-0.9141776789999996,-4.799186325073242,-0.8632987411707052,-0.8639337755513372,-0.642378676046291,20,3
mp-7571,KNbF6,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-7571.cif,train,-3.2635532110937504,-5.895343780517578,-3.460261088320765,-3.461053269369625,-3.1846717749795523,16,3
mp-4659,Cd(PO3)2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-4659.cif,train,-2.195618058161374,-6.572726779513889,-2.341080877760612,-2.34098728452766,-2.373640726091742,72,3
mp-27772,Nb3I8,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-27772.cif,train,-0.6423042081818214,-4.377557581121272,-0.5771815346956286,-0.5763036279483487,-0.8825936851228049,22,2
mp-865429,YbYRh2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-865429.cif,train,-0.9733468437500008,-6.436577320098877,-0.8583978628604116,-0.8586629947306434,-0.7661619905609045,4,3
mp-865669,TiSiTc2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-865669.cif,train,-0.5824303279166685,-9.0618896484375,-0.4762291677719013,-0.477720557565533,0.0426056235014435,4,3
mp-540796,Cs2Sn2O3,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-540796.cif,train,-1.577504956607143,-4.943246023995536,-1.7148818399583066,-1.7149551818876896,-1.6893671523898055,28,3
mp-1187378,TbYbPd2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1187378.cif,train,-0.9502917662500004,-5.00789213180542,-0.996907259591298,-0.9974026236205188,-0.8245766631167586,4,3
mp-8936,SnSe,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-8936.cif,train,-0.3659070845312513,-4.130730628967285,-0.4380538714627073,-0.4373357194147678,-0.6878894741325827,4,2
mp-3045,ErFe4B,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-3045.cif,train,-0.185940610138888,-7.756848017374675,-0.3304779390913355,-0.3308303939992969,-0.207863536476607,12,3
mp-1226055,CsW3Br7,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1226055.cif,train,-0.8604432104545481,-5.388348319313743,-1.1619273716155671,-1.1621326800667455,-1.0905032758694897,44,3
