id,formula,cif_path,split,y_true,model_energy_per_atom,pred_element_reference,pred_affine_energy_composition,pred_composition_only_linear,natoms,nelements
mp-1111421,K3LuCl6,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1111421.cif,train,-2.2910479652916664,-3.95550422668457,-2.2415265183790902,-2.237094512789321,-1.5179070400729149,10,3
mp-1228329,Ba2PtAu,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1228329.cif,train,-0.7671496675,-4.022584915161133,-0.8193856831626571,-0.8209838098065596,-1.080313957039379,4,3
mp-1214710,BaAs2F12,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1214710.cif,train,-2.6255550048333323,-4.693317667643229,-2.8273907601348616,-2.829811235765405,-3.22258505254803,60,3
mp-863724,InPd2Au,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-863724.cif,train,-0.434341507500001,-4.489234447479248,-0.428063916286109,-0.4277962909912869,-0.3843683765771252,4,3
mp-1094694,MgCd2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1094694.cif,train,-0.0698242999999981,-1.2088971932729085,-0.0674877754564635,-0.0667959038438361,0.0454750277784949,6,2
mp-867343,Li3Cd,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-867343.cif,train,-0.1753756374999993,-1.8360188007354736,-0.2813594377044244,-0.2831570862289663,-0.5748639158037686,4,2
mp-13944,Li3AlN2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-13944.cif,train,-1.0450837983333336,-5.203509012858073,-1.0022267808180845,-1.0012001749559207,-0.8346114691190736,48,3
mp-7206,TcAgO4,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-7206.cif,train,-1.268720166666668,-6.540063222249349,-1.457273618163323,-1.4614779480206552,-2.1437201752283253,12,3
mp-3346566,Ca5Mg(CO3)6,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-3346566.cif,train,-2.374640989416666,-7.423846944173177,-2.6298948509111746,-2.6273028883919114,-2.206701664890323,30,4
mp-1205756,DyMgAu,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1205756.cif,train,-0.7490560766666666,-3.834913465711805,-0.7287057441317919,-0.7275215832029813,-0.535366206042211,9,3
