run_tag,fraction,seed,n_train_full,n_train_selected,n_val,n_test
frac010_seed20260528,0.01,20260528,29692,297,3712,3711
frac010_seed20260529,0.01,20260529,29692,297,3712,3711
frac010_seed20260530,0.01,20260530,29692,297,3712,3711
frac050_seed20260528,0.05,20260528,29692,1485,3712,3711
frac050_seed20260529,0.05,20260529,29692,1485,3712,3711
frac050_seed20260530,0.05,20260530,29692,1485,3712,3711
frac1000_seed20260528,1.0,20260528,29692,29692,3712,3711
frac1000_seed20260529,1.0,20260529,29692,29692,3712,3711
frac1000_seed20260530,1.0,20260530,29692,29692,3712,3711
frac100_seed20260528,0.1,20260528,29692,2969,3712,3711
frac100_seed20260529,0.1,20260529,29692,2969,3712,3711
frac100_seed20260530,0.1,20260530,29692,2969,3712,3711
frac250_seed20260528,0.25,20260528,29692,7423,3712,3711
frac250_seed20260529,0.25,20260529,29692,7423,3712,3711
frac250_seed20260530,0.25,20260530,29692,7423,3712,3711
frac500_seed20260528,0.5,20260528,29692,14846,3712,3711
frac500_seed20260529,0.5,20260529,29692,14846,3712,3711
frac500_seed20260530,0.5,20260530,29692,14846,3712,3711
