id,formula,cif_path,split,y_true,published_e_hull_ev_atom,source_pred_affine_energy_composition,source_pred_composition_only_linear,natoms,nelements
wbm-step1-000000,Ac3U,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000000.cif,train,0.06875,0.55,-0.0070605542134722,-0.0676189603505385,8,2
wbm-step1-000001,AcTh3,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000001.cif,train,0.03125,0.125,-0.1312454927122498,-0.2178197025728812,4,2
wbm-step1-000002,AcU3,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000002.cif,train,0.192,0.768,0.0053942188716602,-0.0707212244779919,4,2
wbm-step1-000003,Ag2AuHg,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000003.cif,train,0.0075,0.063,0.063094442755232,0.0847683031432997,4,3
wbm-step1-000005,Ag2BaPb2,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000005.cif,train,-0.0532,0.013,-0.0995133072588727,-0.0812585005689765,5,3
wbm-step1-000006,Ag2Ba,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000006.cif,train,-0.0986666666666666,-0.07,-0.0704200573622412,-0.0639334094391508,3,2
wbm-step1-000008,Ag2BiAc,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000008.cif,train,-0.07725,-0.143,-0.0407077066864078,-0.0106475440002802,4,3
wbm-step1-000009,Ag2Bi,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000009.cif,train,0.0065,0.039,-0.0139920310430728,0.0078258840952303,6,2
wbm-step1-000010,Ag2CdHf,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000010.cif,train,-0.00525,0.071,-0.0710539751104576,-0.0675629623005479,4,3
wbm-step1-000011,Ag2CdI4,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000011.cif,train,-0.0611428571428571,-0.001,-0.0414671271029133,-0.0374403426188281,7,3
wbm-step1-000012,Ag2CdI4,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000012.cif,train,-0.0611428571428571,-0.002,-0.0415491095827076,-0.0374403426188281,7,3
wbm-step1-000013,Ag2CdIn,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000013.cif,train,-0.00175,0.04,-0.041942941815393,-0.020468391932699,4,3
wbm-step1-000014,Ag2CdNd,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000014.cif,train,-0.07175,-0.005,-0.19202223609614,-0.1785171325332855,4,3
