id,formula,natoms,nelements,chemical_system,competitor_entry_count,published_e_hull_ev_atom,formal_true_e_hull_ev_atom,method,pred_col,pred_formation_energy_per_atom_ev,formal_pred_e_hull_ev_atom,abs_formal_pred_minus_published_e_hull_ev_atom,abs_formal_pred_minus_formal_true_e_hull_ev_atom,rank_within_method,selection_method,cif_path,y_true,published_e_hull_ev_atom_matrix,pred_matris_affine_base,pred_simple_residual_ensemble,pred_canonical_formdelta_ensemble
wbm-step1-023311,LaNp3,8,2,La-Np,2,0.716,0.0895,matris_affine_base,pred_matris_affine_base,-1.513543949977211,-1.513543949977211,2.229543949977211,1.603043949977211,1.0,matris_affine_base,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-023311.cif,0.0895,0.716,-1.513543949977211,-0.2378071953333333,-0.0972812976666666
wbm-step1-014279,CuSnNp2,4,3,Cu-Np-Sn,67,0.39,0.15025,matris_affine_base,pred_matris_affine_base,-0.9504860133452993,-0.8799860133452992,1.2699860133452994,1.0302360133452992,2.0,matris_affine_base,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-014279.cif,0.07975,0.39,-0.9504860133452993,0.1054443316666666,0.0521751846666666
wbm-step1-019756,GeHgNp2,4,3,Ge-Hg-Np,31,0.258,0.226,matris_affine_base,pred_matris_affine_base,-0.968556526823658,-0.781056526823658,1.039056526823658,1.007056526823658,3.0,matris_affine_base,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-019756.cif,0.0385,0.258,-0.968556526823658,0.048271736,0.0320706566666666
wbm-step1-022470,IrAuNp2,4,3,Au-Ir-Np,54,0.259,0.275375,matris_affine_base,pred_matris_affine_base,-0.9881488368793346,-0.7072738368793346,0.9662738368793348,0.9826488368793348,4.0,matris_affine_base,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-022470.cif,-0.0055,0.259,-0.9881488368793346,0.0268188903,-0.026073417
wbm-step1-009332,Cd3Np,4,2,Cd-Np,7,0.224,0.056,matris_affine_base,pred_matris_affine_base,-0.6732732963866049,-0.6732732963866049,0.8972732963866049,0.729273296386605,5.0,matris_affine_base,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-009332.cif,0.056,0.224,-0.6732732963866049,0.1296342233333333,0.15614849
wbm-step1-000314,AgPm,2,2,Ag-Pm,3,-0.147,0.1425,matris_affine_base,pred_matris_affine_base,-0.9276312437241356,-0.6426312437241357,0.4956312437241357,0.7851312437241357,6.0,matris_affine_base,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000314.cif,-0.1425,-0.147,-0.9276312437241356,-1.4765199466666663,-0.1441903513333333
wbm-step1-048564,RuSnNp,6,3,Np-Ru-Sn,67,0.014,0.1401481481481482,matris_affine_base,pred_matris_affine_base,-0.6532949584060113,-0.4868134769245297,0.5008134769245297,0.6269616250726779,7.0,matris_affine_base,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-048564.cif,-0.0263333333333333,0.014,-0.6532949584060113,0.0437706109999999,0.0109206829666666
wbm-step1-035443,NiGaNp,9,3,Ga-Ni-Np,81,0.304,0.273111111111111,matris_affine_base,pred_matris_affine_base,-0.7061303940908393,-0.436797060757506,0.7407970607575061,0.7099081718686171,8.0,matris_affine_base,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-035443.cif,0.0037777777777777,0.304,-0.7061303940908393,-0.017843306,0.0007328192066666
wbm-step1-011836,CoNd2,6,2,Co-Nd,17,0.094,0.0543333333333333,matris_affine_base,pred_matris_affine_base,-0.3918435826952641,-0.341843582695264,0.435843582695264,0.3961769160285973,9.0,matris_affine_base,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-011836.cif,0.0043333333333333,0.094,-0.3918435826952641,-0.0160777666666666,-0.015619427
wbm-step1-021647,Ho3Ac,4,2,Ac-Ho,2,0.074,0.0185,matris_affine_base,pred_matris_affine_base,-0.3343362306133638,-0.3343362306133638,0.4083362306133638,0.3528362306133638,10.0,matris_affine_base,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-021647.cif,0.0185,0.074,-0.3343362306133638,0.0196986101333333,0.014641573
