comparison,base_method,method,split,independent_unit,n,base_mae_mev_atom,method_mae_mev_atom,delta_base_minus_method_mev_atom,ci95_low_mev_atom,ci95_high_mev_atom,p_improvement_le_0,interpretation
matris_affine_base_vs_matris_raw_as_formation,matris_affine_base,matris_raw_as_formation,test,structure row,5000,87.65272464015662,5536.541184082745,-5448.888459442587,-5504.840252644515,-5392.402559490648,1.0,worse_ci_excludes_0
matris_affine_base_vs_matris_element_reference,matris_affine_base,matris_element_reference,test,structure row,5000,87.65272464015662,319.1167881688561,-231.46406352869948,-239.45248957293165,-223.68027546352437,1.0,worse_ci_excludes_0
matris_affine_base_vs_composition_only_linear,matris_affine_base,composition_only_linear,test,structure row,5000,87.65272464015662,95.2743882086408,-7.621663568484196,-8.310999957998142,-6.937640087638834,1.0,worse_ci_excludes_0
matris_affine_base_vs_simple_residual_seed20260528,matris_affine_base,simple_residual_seed20260528,test,structure row,5000,87.65272464015662,10.875129762572708,76.77759487758392,71.27963479829594,82.73508132530829,0.0,improvement_ci_excludes_0
matris_affine_base_vs_simple_residual_seed20260529,matris_affine_base,simple_residual_seed20260529,test,structure row,5000,87.65272464015662,10.678089187683252,76.97463545247338,71.48467027375317,83.22984691653973,0.0,improvement_ci_excludes_0
matris_affine_base_vs_simple_residual_seed20260530,matris_affine_base,simple_residual_seed20260530,test,structure row,5000,87.65272464015662,10.62097667664078,77.03174796351585,71.56684913181532,83.29260646405984,0.0,improvement_ci_excludes_0
matris_affine_base_vs_simple_residual,matris_affine_base,simple_residual,test,structure row,5000,87.65272464015662,10.32710308853238,77.32562155162424,71.61628036940871,83.45613291430597,0.0,improvement_ci_excludes_0
matris_affine_base_vs_canonical_formdelta_seed20260528,matris_affine_base,canonical_formdelta_seed20260528,test,structure row,5000,87.65272464015662,12.153159268314392,75.49956537184222,69.73061022530672,82.12787763059565,0.0,improvement_ci_excludes_0
matris_affine_base_vs_canonical_formdelta_seed20260529,matris_affine_base,canonical_formdelta_seed20260529,test,structure row,5000,87.65272464015662,13.390751469800634,74.26197317035599,68.38355186601606,80.91745917137216,0.0,improvement_ci_excludes_0
matris_affine_base_vs_canonical_formdelta_seed20260530,matris_affine_base,canonical_formdelta_seed20260530,test,structure row,5000,87.65272464015662,13.382697173626845,74.27002746652978,68.57984390092166,80.553220527004,0.0,improvement_ci_excludes_0
matris_affine_base_vs_canonical_formdelta,matris_affine_base,canonical_formdelta,test,structure row,5000,87.65272464015662,12.176156805830775,75.47656783432585,69.77190023216775,81.91187308775869,0.0,improvement_ci_excludes_0
