epoch,train_loss,train_main_loss,train_risk_loss,train_pos_loss,train_near_loss,train_rank_loss,train_tail_l2_loss,train_moe_load_balance_loss,train_router_anchor_loss,train_risk_branch_anchor_loss,train_dual_reference_gate_prior_loss,train_dual_reference_gate_entropy,train_moe_entropy,train_moe_max_usage,train_primary_masked_fraction,val_mae_mev_atom
1,0.2538764029741287,0.2538764029741287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.63687133789062
2,0.23320014029741287,0.23320014029741287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.66333770751953
3,0.2261984646320343,0.2261984646320343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.85694885253906
4,0.2225893922150135,0.2225893922150135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.87018585205078
5,0.2216004729270935,0.2216004729270935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.1114730834961
6,0.21892047673463821,0.21892047673463821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.57565307617188
7,0.2174667827785015,0.2174667827785015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.31558227539062
8,0.2165716215968132,0.2165716215968132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.12187957763672
9,0.2149849496781826,0.2149849496781826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.09456634521484
10,0.21362653002142906,0.21362653002142906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.66446685791016
