stage,variant,split,reference_mode,source_metrics,n,mae_mev_atom,rmse_mev_atom,p95_abs_mev_atom,bias_mev_atom,delta_vs_direct_mae_mev_atom
single_model_fegx,direct_reference_fegx_single,test,direct_reference,<RUNS_ROOT>/direct_reference_fegx_single_invdesflow_20260903/fegx/metrics.json,2048,62.0899488065882,191.98654039969324,206.54270294794435,-16.368820237132493,-21.2821560147829
simple_residual_adapter,direct_reference_simple_residual,test,direct_reference,<RUNS_ROOT>/direct_reference_fegx_single_invdesflow_20260903/adapter/metrics.json,2048,75.27123256412204,295.46332646913135,226.6076876972942,-35.199630963418066,-8.100872257249051
adapter_baseline,direct_reference_simple_residual_baseline,test,direct_reference,<RUNS_ROOT>/direct_reference_fegx_single_invdesflow_20260903/adapter/metrics.json,2048,83.3721048213711,307.5630608620621,268.11726253067377,-58.24372909928779,0.0
direct_raw,raw_model_energy_as_formation,test,direct_reference,<RUNS_ROOT>/direct_reference_fegx_single_invdesflow_20260903/direct_reference/contract_summary.json,2048,83.3721048213711,307.5630608620621,268.11726253067377,-58.24372909928779,0.0
direct_reference_contract,direct_reference,test,direct_reference,<RUNS_ROOT>/direct_reference_fegx_single_invdesflow_20260903/direct_reference/contract_summary.json,2048,83.3721048213711,307.5630608620621,268.11726253067377,-58.24372909928779,0.0
fegx_baseline,direct_reference_fegx_single_baseline,test,direct_reference,<RUNS_ROOT>/direct_reference_fegx_single_invdesflow_20260903/fegx/metrics.json,2048,83.3721048213711,307.5630608620622,268.11726253067377,-58.24372909928779,0.0
single_model_fegx,direct_reference_fegx_single,train,direct_reference,<RUNS_ROOT>/direct_reference_fegx_single_invdesflow_20260903/fegx/metrics.json,8192,43.4223552233558,204.20454030400845,118.9350416164806,-15.267810259145337,-48.530521668460615
simple_residual_adapter,direct_reference_simple_residual,train,direct_reference,<RUNS_ROOT>/direct_reference_fegx_single_invdesflow_20260903/adapter/metrics.json,8192,71.10700563481247,344.1608106288325,200.624388894352,-42.27406133905606,-20.84587125700395
adapter_baseline,direct_reference_simple_residual_baseline,train,direct_reference,<RUNS_ROOT>/direct_reference_fegx_single_invdesflow_20260903/adapter/metrics.json,8192,91.95287689181642,365.2052720250746,274.68478089708105,-65.54322447128288,0.0
direct_raw,raw_model_energy_as_formation,train,direct_reference,<RUNS_ROOT>/direct_reference_fegx_single_invdesflow_20260903/direct_reference/contract_summary.json,8192,91.95287689181642,365.2052720250746,274.68478089708105,-65.54322447128288,0.0
direct_reference_contract,direct_reference,train,direct_reference,<RUNS_ROOT>/direct_reference_fegx_single_invdesflow_20260903/direct_reference/contract_summary.json,8192,91.95287689181642,365.2052720250746,274.68478089708105,-65.54322447128288,0.0
fegx_baseline,direct_reference_fegx_single_baseline,train,direct_reference,<RUNS_ROOT>/direct_reference_fegx_single_invdesflow_20260903/fegx/metrics.json,8192,91.95287689181642,365.2052720250746,274.68478089708105,-65.54322447128288,0.0
single_model_fegx,direct_reference_fegx_single,val,direct_reference,<RUNS_ROOT>/direct_reference_fegx_single_invdesflow_20260903/fegx/metrics.json,1024,68.37247040526181,209.4707691569805,254.62548039355687,-22.415436614139526,-18.923749473657523
simple_residual_adapter,direct_reference_simple_residual,val,direct_reference,<RUNS_ROOT>/direct_reference_fegx_single_invdesflow_20260903/adapter/metrics.json,1024,82.7088357787186,331.65398753102755,262.65516481555875,-40.27968291750067,-4.587384100200737
direct_raw,raw_model_energy_as_formation,val,direct_reference,<RUNS_ROOT>/direct_reference_fegx_single_invdesflow_20260903/direct_reference/contract_summary.json,1022,87.29621987891933,337.0296119733361,299.75561308117494,-59.05712850629314,0.0
adapter_baseline,direct_reference_simple_residual_baseline,val,direct_reference,<RUNS_ROOT>/direct_reference_fegx_single_invdesflow_20260903/adapter/metrics.json,1024,90.08963759584756,343.3146272275015,312.64170431789813,-61.905700698558555,2.793417716928232
direct_reference_contract,direct_reference,val,direct_reference,<RUNS_ROOT>/direct_reference_fegx_single_invdesflow_20260903/direct_reference/contract_summary.json,1024,90.08963759584756,343.3146272275015,312.64170431789813,-61.905700698558555,2.793417716928232
fegx_baseline,direct_reference_fegx_single_baseline,val,direct_reference,<RUNS_ROOT>/direct_reference_fegx_single_invdesflow_20260903/fegx/metrics.json,1024,90.08963760242898,343.31462725659276,312.6417043178981,-61.90570070513996,2.7934177235096485
