stage,variant,split,reference_mode,source_metrics,n,mae_mev_atom,rmse_mev_atom,median_abs_mev_atom,p90_abs_mev_atom,p95_abs_mev_atom,p99_abs_mev_atom,bias_mev_atom,delta_vs_direct_mae_mev_atom
single_model_fegx,direct_reference_fegx_single,test,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260529/fegx/metrics.json,2048,62.446029653209415,197.78692480092712,26.96389820495537,126.56549140685475,211.79287968380146,522.5599157435744,-15.198608298034998,-20.92607516816168
simple_residual_adapter,direct_reference_simple_residual,test,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260529/adapter/metrics.json,2048,75.67191050409048,294.1206916477094,26.363798595163356,131.9470524711683,225.89257952302108,923.119081569654,-34.41322051521846,-7.700194317280619
adapter_baseline,direct_reference_simple_residual_baseline,test,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260529/adapter/metrics.json,2048,83.3721048213711,307.5630608620621,28.03332455859242,158.614209714248,268.11726253067377,942.3049437263066,-58.24372909928779,0.0
direct_raw,raw_model_energy_as_formation,test,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260529/direct_reference/contract_summary.json,2048,83.3721048213711,307.5630608620621,28.03332455859242,158.614209714248,268.11726253067377,942.3049437263066,-58.24372909928779,0.0
direct_reference_contract,direct_reference,test,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260529/direct_reference/contract_summary.json,2048,83.3721048213711,307.5630608620621,28.03332455859242,158.614209714248,268.11726253067377,942.3049437263066,-58.24372909928779,0.0
fegx_baseline,direct_reference_fegx_single_baseline,test,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260529/fegx/metrics.json,2048,83.3721048213711,307.5630608620622,28.03332455859242,158.61420971424806,268.11726253067377,942.3049437263066,-58.24372909928779,0.0
single_model_fegx,direct_reference_fegx_single,train,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260529/fegx/metrics.json,8192,43.56977638195658,209.18988319861236,16.557723386849577,70.44860362627836,119.52854356129183,380.63288803426354,-15.240855240888779,-48.38310050985984
simple_residual_adapter,direct_reference_simple_residual,train,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260529/adapter/metrics.json,8192,66.62948977044309,335.5372967372206,15.870991544864378,87.02800574162677,177.2948181184634,1247.55773374735,-40.354348267199384,-25.32338712137333
adapter_baseline,direct_reference_simple_residual_baseline,train,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260529/adapter/metrics.json,8192,91.95287689181642,365.2052720250746,29.459539679980136,159.50696745266796,274.68478089708105,1358.2320690952706,-65.54322447128288,0.0
direct_raw,raw_model_energy_as_formation,train,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260529/direct_reference/contract_summary.json,8192,91.95287689181642,365.2052720250746,29.459539679980136,159.50696745266796,274.68478089708105,1358.2320690952706,-65.54322447128288,0.0
direct_reference_contract,direct_reference,train,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260529/direct_reference/contract_summary.json,8192,91.95287689181642,365.2052720250746,29.459539679980136,159.50696745266796,274.68478089708105,1358.2320690952706,-65.54322447128288,0.0
fegx_baseline,direct_reference_fegx_single_baseline,train,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260529/fegx/metrics.json,8192,91.95287689181642,365.2052720250746,29.45953967998016,159.50696745266796,274.68478089708105,1358.2320690952706,-65.54322447128288,0.0
single_model_fegx,direct_reference_fegx_single,val,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260529/fegx/metrics.json,1024,72.17792124314936,228.4248879826638,27.598291442303523,126.99041751434612,282.9878313064676,684.0498824560101,-19.271751260859947,-15.118298635769975
simple_residual_adapter,direct_reference_simple_residual,val,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260529/adapter/metrics.json,1024,82.22688071300882,328.2662826644313,26.507988302642783,119.90419844171386,259.450275214577,1216.0155429933282,-39.516125928387105,-5.069339165910506
direct_raw,raw_model_energy_as_formation,val,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260529/direct_reference/contract_summary.json,1022,87.29621987891933,337.0296119733361,27.139173926247693,143.91652547734256,299.75561308117494,942.2105727934647,-59.05712850629314,0.0
adapter_baseline,direct_reference_simple_residual_baseline,val,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260529/adapter/metrics.json,1024,90.08963759584756,343.3146272275015,27.17799074960081,144.88245630975726,312.64170431789813,1275.117412010216,-61.905700698558555,2.793417716928232
direct_reference_contract,direct_reference,val,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260529/direct_reference/contract_summary.json,1024,90.08963759584756,343.3146272275015,27.17799074960081,144.88245630975726,312.64170431789813,1275.117412010216,-61.905700698558555,2.793417716928232
fegx_baseline,direct_reference_fegx_single_baseline,val,direct_reference,<RUNS_ROOT>/invdesflow_single_model_study_20260904/multiseed/direct_reference_seed20260529/fegx/metrics.json,1024,90.08963760242898,343.31462725659276,27.17799074960059,144.8824563097573,312.6417043178981,1275.117412010216,-61.90570070513996,2.7934177235096485
