method,fraction,n_seeds,mae_mean,mae_std,rmse_mean,rmse_std,bias_mean,bias_std,median_mean,p95_mean
fegx,0.01,5,81.2543634698791,0.3882762918452642,302.937117536312,0.4907046104549571,-44.88052325041489,1.57622485147198,29.02340879412123,261.18777604581646
frozen,0.01,5,83.3721048213711,0.0,307.5630608620621,0.0,-58.24372909928779,0.0,28.03332455859242,268.11726253067377
full_ft,0.01,1,82.88860681186844,0.0,293.8613967425369,0.0,-24.12795935897728,0.0,35.717716596296746,239.792870667988
lora,0.01,1,83.26994094615745,0.0,307.4473703194608,0.0,-57.62998967266166,0.0,27.88966968976137,267.4940840486181
simple_residual,0.01,5,91.21254818763028,0.4429649296989636,303.06350842438,0.7692313046463917,-18.870547751159656,3.177228830579656,43.268311648633706,250.05147279189651
fegx,0.05,5,79.97746502784898,0.3329416428932942,297.0283208587552,0.5277355255619947,-39.78880321492606,1.8137158057577452,28.732867025835752,252.69583776311748
frozen,0.05,5,83.3721048213711,0.0,307.5630608620621,0.0,-58.24372909928779,0.0,28.03332455859242,268.11726253067377
full_ft,0.05,1,85.97311659253118,0.0,298.07361043337164,0.0,-20.186566392751303,0.0,39.67617323340208,238.5248086549278
lora,0.05,1,82.96544772480259,0.0,306.9573068584169,0.0,-54.90918595178509,0.0,28.283262715062875,266.0120718237366
simple_residual,0.05,5,81.81685119206747,0.8770852419556903,303.0738469874432,0.3974159261753955,-36.5505703569418,1.382615958824718,31.694406024936317,250.2076699954472
fegx,0.1,3,79.05238125377045,0.2678143153502393,298.27665901963854,0.7743511863524821,-42.93000051351157,1.4234975127803244,27.58625222146984,255.16025300393707
frozen,0.1,3,83.3721048213711,0.0,307.5630608620621,0.0,-58.24372909928778,0.0,28.033324558592412,268.11726253067377
full_ft,0.1,1,81.60259496145406,0.0,274.32479400390474,0.0,-8.88870517674357,0.0,40.2879215221352,220.1912330527548
lora,0.1,1,82.97773568638316,0.0,306.98653319237155,0.0,-55.064891659369366,0.0,28.04734753104188,266.080563521048
simple_residual,0.1,3,79.7188440300365,0.6123712260382012,303.21169004851595,0.3548267111947467,-40.25435120035487,2.835413432875049,29.59466855135704,243.26552039710523
fegx,0.25,3,76.30521073519867,1.470621152038836,278.8710655580746,13.2804949758135,-33.558934831522144,6.461703911184686,28.92187653608685,241.92025732558736
frozen,0.25,3,83.3721048213711,0.0,307.5630608620621,0.0,-58.24372909928778,0.0,28.033324558592412,268.11726253067377
full_ft,0.25,1,85.78323327357093,0.0,301.4528365708518,0.0,-30.32179914016732,0.0,37.87623737431678,245.4733464620421
lora,0.25,1,83.12503562500707,0.0,307.2805649207062,0.0,-56.7465626242686,0.0,28.273675371080586,266.6930548902956
simple_residual,0.25,3,77.72876965622454,0.227851315791877,301.08488140076264,0.3517407215673816,-36.55257071086661,1.6548711393971625,27.918038790449184,236.41008300692877
fegx,0.5,3,67.91176626829655,0.0361340200008987,229.0871015562026,3.465464178493592,-21.72896072416032,1.5475240233907983,28.01826338189305,221.6064224484444
frozen,0.5,3,83.3721048213711,0.0,307.5630608620621,0.0,-58.24372909928778,0.0,28.033324558592412,268.11726253067377
full_ft,0.5,1,86.03915410304566,0.0,274.66044977065155,0.0,-5.422086871205721,0.0,45.33557790334235,221.55738104712503
lora,0.5,1,82.85087195048864,0.0,306.03070890285335,0.0,-49.49971984906578,0.0,29.360422534089853,262.48135461897
simple_residual,0.5,3,76.7417678321019,0.3415467644988491,298.6667632754919,1.1756256441145627,-35.429457934729385,1.8369915205967096,27.319692072634496,232.22870726341577
fegx,1.0,5,62.10028475129964,0.6793936259840696,195.5514935303156,5.467503073346449,-15.993180584066325,2.565448603285009,26.702274762216103,211.1955829665007
frozen,1.0,5,83.3721048213711,0.0,307.5630608620621,0.0,-58.24372909928779,0.0,28.03332455859242,268.11726253067377
full_ft,1.0,1,87.1693060362735,0.0,252.0397473901615,0.0,0.0248232629907925,0.0,47.38973717304219,212.6989700916167
lora,1.0,1,88.67010805624615,0.0,303.46336666945695,0.0,-28.32738407387504,0.0,42.70264229949827,250.5689632666557
simple_residual,1.0,5,75.22460559606881,0.3058205542570802,295.0633660422481,1.9732804348017052,-35.64520943009692,1.8189425316411456,26.12809463827053,225.688387428951
