subset,method,n_test_rows,mae_mev_atom,rmse_mev_atom,bias_mev_atom,p95_abs_mev_atom
source_chemical_system_seen,fegx,1600,60.54165859917124,197.07915662399344,-15.723804173547062,201.45573820833303
source_chemical_system_seen,frozen,1600,75.63647528777008,298.8651473748964,-49.6042623016654,259.5039451025016
source_chemical_system_seen,simple_residual,1600,70.70563327069847,289.3303219962382,-30.781861133284558,217.9685492180977
source_chemical_system_unseen,fegx,448,67.61955221142408,172.57617201016313,-18.672451732574608,246.23319570819936
source_chemical_system_unseen,frozen,448,110.99935315566044,336.79831971362216,-89.0989676622249,388.20902772101954
source_chemical_system_unseen,simple_residual,448,91.57694569525484,316.3979458775404,-50.97738179127997,234.5993429948612
source_formula_seen,fegx,1227,44.82629914550078,105.8318182965598,-1.2179546572148034,138.89037921199088
source_formula_seen,frozen,1227,47.68146802941373,161.1719600684992,-22.687004689220405,142.25072325440237
source_formula_seen,simple_residual,1227,45.61687807291752,155.7801020214918,-5.8208930227649205,123.33011764124312
source_formula_unseen,fegx,821,87.89079670872414,274.2369049230812,-39.01207635744965,353.0830889093659
source_formula_unseen,frozen,821,136.71243532530738,444.0122553849416,-111.383925020302,442.6246446476234
source_formula_unseen,simple_residual,821,119.59022595508152,426.02793793662886,-79.10671025190763,407.9428500000002
source_structure_seen,fegx,1110,38.31764646141638,65.54113157078187,2.1507473518662485,125.61763680319396
source_structure_seen,frozen,1110,37.49227374956367,66.13878778228761,-13.193605721371824,121.72122876870216
source_structure_seen,simple_residual,1110,37.13313341889208,62.37186564012338,2.335177185866254,111.79635536592794
source_structure_unseen,fegx,938,90.2213492294454,274.57803599992104,-38.28430129471243,355.4927996422894
source_structure_unseen,frozen,938,137.66486866967202,448.73087797363365,-111.55464269149113,445.4105870587252
source_structure_unseen,simple_residual,938,120.40267250492698,431.2787934579561,-79.61715515145016,403.9226725805003
