target_protocol,dataset_version,split_type,train_n,val_n,test_n,label_name,reference_provider,method,reference,seeds,ensemble,coverage,coverage_fraction,MAE_mean,MAE_std,RMSE,median,p90,p95,bias,evidence_file,comparability
MP,Matbench official fold-averaged 5-fold,official,100891.0,5310.0,26551,formation_energy_per_atom,MatRIS+EqV3,FE-GX dual,dual,3,yes,132567/132755,0.9985838574818274,5.8750157334000495,0.3177829678291832,45.3590117168593,1.4421868996780662,7.954521043403197,15.980626380682015,-0.8538806113621569,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/matbench_3seed_ensemble_predictions.csv,exact_official_main
MP,Matbench official fold-averaged 5-fold,official,100891.0,5310.0,26551,formation_energy_per_atom,composition_only_linear,composition-only,none,5,no,132530/132530,1.0,438.9466729767596,2.2130653751814178,613.0852465150535,314.2588052557405,976.2701599795197,1256.362817722656,0.23342309795857083,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/matris_reference/metrics.json,official_fold_family_exact
MP,Matbench fold0 local controlled package,official_fold0_local_controlled,100891.0,5310.0,26517,formation_energy_per_atom,MatRIS single-reference residual,single-reference composition residual (no structure),single,5,no,26517/26517,1.0,9.484267236060802,0.1359740291262313,62.359487154621306,1.872346371583769,9.839816662287058,20.322258316664044,-2.662424397101142,<RUNS_ROOT>/paper_closure_331_341/335_component_recheck/component_mean_std_table.csv,same_split_controlled_local
MP,Matbench fold0 official,official_fold0,100891.0,5310.0,26551,formation_energy_per_atom,MatRIS,reference-only,single,1,no,26517/26551,0.9987194455952695,112.61977924607618,,171.15484149639605,80.93152112960286,244.007676796368,367.6846630947624,0.8732241858416516,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/matris_reference/metrics.json,official_fold0_exact
MP,Matbench fold0 local controlled package,official_fold0_local_controlled,100891.0,5310.0,26458,formation_energy_per_atom,none,direct-y no-reference,none,1,no,26458/26458,1.0,94.51656874599732,,157.45813260689513,58.32850959074199,205.0640890134192,297.95454472070884,4.113961060371628,<RUNS_ROOT>/paper_closure_331_341/336_residual_task_decomposition/same_capacity_distribution_reconstructed_20260627.csv,same_capacity_same_split_local
MP,Matbench fold0 official,official_fold0,100891.0,5310.0,26551,formation_energy_per_atom,MatRIS,calibrated single reference,single,1,no,26517/26551,0.9987194455952695,108.1950326641111,,165.76361971533194,70.91571085069859,235.05824301436908,345.9677642000155,1.1977053489528926,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/matris_reference/metrics.json,official_fold0_exact
MP,Matbench fold0 official,official_fold0,100891.0,5310.0,26551,formation_energy_per_atom,MatRIS,FE-GX single,single,1,no,26517/26551,0.9987194455952695,7.534152639360033,,57.592356330059765,2.039479991072124,9.640225565828512,18.83420761111116,-0.7260436250371474,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/seed20260528_fegx1g_pairenv/matbench_fold0_fegx1g_pairenv_predictions.csv,official_fold0_exact
MP,Matbench fold0 local controlled package,official_fold0_local_controlled,100891.0,5310.0,26517,formation_energy_per_atom,MatRIS+EqV3,FE-GX dual,dual,5,no,26517/26517,1.0,6.922371171371476,0.0807596108190758,55.05922951021495,1.862331419267094,8.728841746997396,17.13434822605629,-0.6083288667426452,<RUNS_ROOT>/paper_closure_331_341/335_component_recheck/component_mean_std_table.csv,same_split_controlled_local
JARVIS,JARVIS strict official leaderboard,official,44569.0,5572.0,5572,formation_energy_per_atom,MatRIS+EqV3,FE-GX dual,dual,3,yes,5544/5572,0.9949748743718593,15.628672128222886,,55.688395478354266,6.541895399093638,29.053815184593205,45.59410559972129,0.3867378379410935,<RUNS_ROOT>/official_benchmark_214/jarvis_fe_leaderboard/jarvis_leaderboard_predictions.csv,exact_official_main_with_partial_coverage
JARVIS,JARVIS strict official,official,44569.0,5572.0,5572,formation_energy_per_atom,composition_only_linear,composition-only,none,1,no,5569/5572,0.9994615936826992,453.8013851514021,,633.4369961659564,327.81629281732904,1022.6930170025059,1242.6293437243187,2.2469389443502994,<RUNS_ROOT>/matris_oam_reference_calibration_v1/metrics.json,official_target_same_predictions_proxy
JARVIS,JARVIS strict official,official,44569.0,5572.0,5572,formation_energy_per_atom,none,direct-y no-reference,none,3,yes,5572/5572,1.0,79.41639732016392,2.0380230756542317,144.95893895032958,43.6674233333334,179.14412966666677,269.18688933333334,-14.452549166708542,<RUNS_ROOT>/paper_closure_331_341/342_jarvis_exact_direct_y_no_reference_20260627/ensemble/ensemble_predictions.csv,official_fold0_exact
