method,method_label,fraction,split,n_runs,n_mean,n_std,n_sem,n_min,n_max,mae_mev_atom_mean,mae_mev_atom_std,mae_mev_atom_sem,mae_mev_atom_min,mae_mev_atom_max,rmse_mev_atom_mean,rmse_mev_atom_std,rmse_mev_atom_sem,rmse_mev_atom_min,rmse_mev_atom_max,median_abs_mev_atom_mean,median_abs_mev_atom_std,median_abs_mev_atom_sem,median_abs_mev_atom_min,median_abs_mev_atom_max,p90_abs_mev_atom_mean,p90_abs_mev_atom_std,p90_abs_mev_atom_sem,p90_abs_mev_atom_min,p90_abs_mev_atom_max,p95_abs_mev_atom_mean,p95_abs_mev_atom_std,p95_abs_mev_atom_sem,p95_abs_mev_atom_min,p95_abs_mev_atom_max,p99_abs_mev_atom_mean,p99_abs_mev_atom_std,p99_abs_mev_atom_sem,p99_abs_mev_atom_min,p99_abs_mev_atom_max,bias_mev_atom_mean,bias_mev_atom_std,bias_mev_atom_sem,bias_mev_atom_min,bias_mev_atom_max,r2_mean,r2_std,r2_sem,r2_min,r2_max,runtime_s_mean,runtime_s_std,runtime_s_sem,runtime_s_min,runtime_s_max,best_epoch_mean,best_epoch_std,best_epoch_sem,best_epoch_min,best_epoch_max,trainable_params_mean,trainable_params_std,trainable_params_sem,trainable_params_min,trainable_params_max,total_params_mean,total_params_std,total_params_sem,total_params_min,total_params_max
affine_energy_composition,Linear energy+composition calibration,0.01,test,3,3711.0,0.0,0.0,3711.0,3711.0,150.26524276138585,3.9340727436355314,2.2713379575495436,145.72260248787305,152.55214690630825,280.03147034544776,24.848608619476607,14.346350875442475,256.0045045412885,305.6273696749621,91.92595841650594,5.066525851914745,2.925160064459176,86.87703025576266,97.0099004766345,313.8489359846128,24.35071657873154,14.058892771690939,293.2783616771708,340.7353075123805,459.59936870260054,19.063633831041823,11.006394124084453,437.6105377453292,471.48295215943295,1017.7358626693303,123.64358783458016,71.385658719866,939.4620836323736,1160.2780153471992,-17.181672680895367,18.754492082734505,10.827911052481472,-38.808674867556526,-5.400930358622221,0.9218032994851043,0.01386727802947154,0.008006276703242778,0.9073414570534736,0.934987600838176,,,,,,,,,,,,,,,,,,,,
classical_delta,Classical residual adapter,0.01,test,3,3711.0,0.0,0.0,3711.0,3711.0,118.31377827701738,6.975986314949359,4.027587576799158,112.93675204282516,126.19652634489952,265.7415594007599,35.22647283931398,20.338013576378966,234.0778662332063,303.685897701713,56.23067208584202,0.3846815289886015,0.2220959843138459,55.99784089431525,56.67468820958754,255.25947801569973,17.011313080409636,9.821486186243506,235.62748547448953,265.6441783975225,422.49129856377186,44.62822899997272,25.766120026590514,371.53275426171945,454.6112706504846,1035.889689766071,213.12021117325995,123.04501129063152,892.0555083099803,1280.7345706094625,-10.728626350765722,25.18033737636209,14.537874562528248,-39.78132888555302,4.8000955847394415,0.9291274658035356,0.018901455978654988,0.010912760697352319,0.908514929074778,0.9456472303912374,15.247708479563395,2.723190272281153,1.572234636756094,12.934197664260864,18.248783826828003,104.33333333333333,73.35757175188756,42.353013798049574,47.0,187.0,,,,,,,,,,
composition_only_linear,Composition-only linear baseline,0.01,test,3,3711.0,0.0,0.0,3711.0,3711.0,466.9225012265679,6.444214930830509,3.7205692250308005,461.25090540003055,473.9299482933539,668.4852833754991,12.625018266216497,7.289057694524037,655.121032152799,680.2110860348687,333.2178931190674,18.269429154481035,10.547859840280424,321.51941878864244,354.2701337831249,1017.0497485508827,7.566070950826658,4.368273100167579,1008.41650806674,1022.5264544321044,1317.2743064337803,35.71224773366008,20.61847584239525,1282.1287652687138,1353.5274902973754,2334.681716467265,157.78620116547432,91.09790571729505,2177.938722868817,2493.4908334860056,-38.13374657208612,32.969612816893324,19.0350148349111,-74.9540604474257,-11.345419554562188,0.5566079130480034,0.016713792445909204,0.009649712567825213,0.5410256762562924,0.5742603843099832,,,,,,,,,,,,,,,,,,,,
element_reference,Element-reference calibration,0.01,test,3,3711.0,0.0,0.0,3711.0,3711.0,149.9261183189963,3.6669405219428137,2.1171090974460305,145.72470483760765,152.48239762281378,280.29964275819424,25.901791672063432,14.95440639435943,255.16477205648007,306.90565061230313,91.51346708442175,5.2519994121828395,3.0322432744075187,86.53517420410716,97.00193808586376,313.71944246065465,25.770517963547892,14.878615483410464,290.56694521494865,341.4849158819724,458.6778046464847,18.714107826487574,10.804595191266284,437.6038921102201,473.3542644539085,1022.357513012033,140.75095108768934,81.26259949917329,927.200996941964,1184.039926620579,-17.08480273600456,18.473927900407666,10.665927246290105,-38.38234777070773,-5.3886794223323085,0.9216188928912527,0.014465516695785925,0.00835166995827903,0.906564750808447,0.9354134018373408,,,,,,,,,,,,,,,,,,,,
element_reference_internal,Internal element-reference anchor,0.01,test,9,3711.0,0.0,0.0,3711.0,3711.0,149.92612040629862,3.175664932206206,1.0585549774020686,145.72470460004138,152.48239674489125,280.2996534259744,22.431623070396768,7.477207690132256,255.16477003031778,306.90567929784015,91.5134252632659,4.548324612204953,1.5161082040683178,86.53506673217848,97.0017658764668,313.71923044854043,22.31766996463764,7.439223321545881,290.56704013793853,341.48441410196995,458.67792699359455,16.20687984158069,5.402293280526897,437.6040197249933,473.35433670227354,1022.3575525228929,121.89378709916852,40.63126236638951,927.2009375286877,1184.0397939792153,-17.08494924658111,15.998951005450236,5.332983668483412,-38.382574976124744,-5.388791446775802,0.9216188864256891,0.012527513120345609,0.00417583770678187,0.9065647333422294,0.9354134028630539,,,,,,,,,,,,,,,,,,,,
feature_stacking,Feature-stacking direct-y baseline,0.01,test,3,3711.0,0.0,0.0,3711.0,3711.0,193.39013341102722,3.661599492569082,2.1140254526993565,189.20861487783185,196.02263792346469,295.78534787290477,9.503142608384321,5.486641943098091,285.28161355372947,303.7873774730446,132.5287117720886,7.295518775863081,4.212069729122519,124.55842522262733,138.87616185343398,419.65017530257245,20.619521216866644,11.904686125119158,396.4785296973874,435.97633408203365,572.5747944661894,13.91719847459102,8.035098285670575,559.2367501046358,587.0066024122749,1015.6402122346236,109.29723079173965,63.102785619291545,909.2598412420509,1127.6376860492362,-25.516406412371406,25.581497609214267,14.769484530953626,-49.74413470611075,1.2322076887609603,0.9131533532669129,0.005543889224147925,0.00320076593591927,0.9084537775013873,0.9192674735536601,24.15959596633911,3.5515391675185892,2.050482094404357,20.409746646881104,27.47236728668213,112.66666666666667,27.610384519838426,15.940862934957792,89.0,143.0,498404.0,0.0,0.0,498404.0,498404.0,498643.0,0.0,0.0,498643.0,498643.0
formdelta,Canonical FormDelta fixed-anchor residual,0.01,test,3,3711.0,0.0,0.0,3711.0,3711.0,147.06087201157374,3.3543519125379806,1.9366359796605392,143.84138643603166,150.5355172699326,280.1557452227103,25.541152969141113,14.74619154214703,254.9506754888034,306.02021206712215,86.16314242407697,6.545029689710323,3.778774653208348,81.64367759411562,93.66865808631886,312.8934717473744,25.68549734927833,14.829528808875263,290.7666682308961,341.0609139255598,468.37286117634494,18.868015810905945,10.893454007500663,446.58867384751613,479.5631283765893,1039.9489706789482,130.16657275786758,75.15170582124586,945.6193382353817,1188.453695109815,-13.954771352538678,17.060774299605768,9.85004263446084,-33.4051413025847,-1.521754900697234,0.9217111628488021,0.014226091951905894,0.008213438017949238,0.9071031040718146,0.9355217394245635,17.66037193934123,3.571773533165632,2.0621644108575583,15.328776836395264,21.772406816482544,16.333333333333332,9.018499505645789,5.2068331172711035,7.0,25.0,498404.0,0.0,0.0,498404.0,498404.0,498643.0,0.0,0.0,498643.0,498643.0
raw,Raw pretrained PBE/GGA predictor,0.01,test,3,3711.0,0.0,0.0,3711.0,3711.0,4511.14619559229,0.0,0.0,4511.14619559229,4511.14619559229,4891.874148198089,0.0,0.0,4891.874148198089,4891.874148198089,4328.789101071778,0.0,0.0,4328.789101071778,4328.789101071778,7004.029861092121,0.0,0.0,7004.029861092121,7004.029861092121,8016.205878182313,0.0,0.0,8016.205878182313,8016.205878182313,9794.516867372044,0.0,0.0,9794.516867372044,9794.516867372044,-4511.14619559229,0.0,0.0,-4511.14619559229,-4511.14619559229,-22.738404734247144,4.351167857633658e-15,2.51214793389404e-15,-22.738404734247148,-22.738404734247148,,,,,,,,,,,,,,,,,,,,
target_only,Target-only small MLP,0.01,test,3,3711.0,0.0,0.0,3711.0,3711.0,484.5583128204209,13.73129953558035,7.927769483190699,471.8769875293811,499.14134033186093,679.642494906053,19.53018869652248,11.27575970126144,658.196700678279,696.4058144370193,329.658018121565,10.593377228461165,6.116089194479305,323.5276590166137,341.89018540380965,1153.2301187397127,28.08459851535758,16.214650512924266,1121.135183035483,1173.3001480114751,1452.2309645999683,32.82753891376581,18.952988428695605,1414.3784565032663,1472.900214410402,2104.8626839604326,42.08397515279776,24.29719438303731,2058.709959253675,2141.1111936811917,-8.91750247869239,46.07891884164483,26.603676197190563,-48.460564613992524,41.684637394781404,0.541540427429687,0.026206412087230773,0.01513027907305695,0.518910635449577,0.570253467593431,28.652836322784424,5.540177037593653,3.1986227040128794,24.02423357963562,34.79147934913635,137.0,57.61076288333631,33.26158945891392,87.0,200.0,498404.0,0.0,0.0,498404.0,498404.0,498643.0,0.0,0.0,498643.0,498643.0
affine_energy_composition,Linear energy+composition calibration,0.01,train,3,29692.0,0.0,0.0,29692.0,29692.0,157.8494089130552,3.6041627331240558,2.080864324172391,155.6741142843972,162.00968685369435,328.027444515132,34.72063416834645,20.045967483529342,288.9460460148308,355.3144755098982,90.8030532709572,3.9458883542629803,2.278159703525941,86.45306875930703,94.15203912370306,327.7853651142289,11.630553896325667,6.714903422868075,319.98429694115094,341.1530680201446,495.63596679270836,20.821349256246506,12.021211597985136,473.16672390884247,514.2785858061837,1158.7084741796286,196.7686342154242,113.60442393235019,953.055225039231,1345.1888568811964,-16.087710015786257,18.30530546868698,10.568573039944757,-37.22375678342379,-5.332995499020905,0.8897713210321686,0.02261350233812581,0.013055911662237168,0.8716285807482879,0.9151061846253992,,,,,,,,,,,,,,,,,,,,
