rank_weight,rank_tag,split,n_runs,n_mean,n_std,n_sem,n_min,n_max,mae_mev_atom_mean,mae_mev_atom_std,mae_mev_atom_sem,mae_mev_atom_min,mae_mev_atom_max,rmse_mev_atom_mean,rmse_mev_atom_std,rmse_mev_atom_sem,rmse_mev_atom_min,rmse_mev_atom_max,median_abs_mev_atom_mean,median_abs_mev_atom_std,median_abs_mev_atom_sem,median_abs_mev_atom_min,median_abs_mev_atom_max,p90_abs_mev_atom_mean,p90_abs_mev_atom_std,p90_abs_mev_atom_sem,p90_abs_mev_atom_min,p90_abs_mev_atom_max,p95_abs_mev_atom_mean,p95_abs_mev_atom_std,p95_abs_mev_atom_sem,p95_abs_mev_atom_min,p95_abs_mev_atom_max,p99_abs_mev_atom_mean,p99_abs_mev_atom_std,p99_abs_mev_atom_sem,p99_abs_mev_atom_min,p99_abs_mev_atom_max,bias_mev_atom_mean,bias_mev_atom_std,bias_mev_atom_sem,bias_mev_atom_min,bias_mev_atom_max,r2_mean,r2_std,r2_sem,r2_min,r2_max,runtime_s_mean,runtime_s_std,runtime_s_sem,runtime_s_min,runtime_s_max,best_epoch_mean,best_epoch_std,best_epoch_sem,best_epoch_min,best_epoch_max,trainable_params_mean,trainable_params_std,trainable_params_sem,trainable_params_min,trainable_params_max,total_params_mean,total_params_std,total_params_sem,total_params_min,total_params_max,ranking_train_pairs_mean,ranking_train_pairs_std,ranking_train_pairs_sem,ranking_train_pairs_min,ranking_train_pairs_max,ranking_pairs_per_step_mean,ranking_pairs_per_step_std,ranking_pairs_per_step_sem,ranking_pairs_per_step_min,ranking_pairs_per_step_max
0.0,rankw000,test,3,3711.0,0.0,0.0,3711.0,3711.0,17.805478010595923,0.37905755700889787,0.2188489825774491,17.431064690047823,18.189015082606574,40.92997288070174,1.55986400391495,0.9005879025595039,39.46378701357561,42.569101113240116,9.128393168885463,0.22843688934465964,0.13188809955598,8.893540902014774,9.349822773285666,35.588151014741776,0.5411276629076476,0.3124202018456834,35.09532257150894,36.16722007507156,57.133856253613736,1.3916356988826992,0.8034612453638195,56.21201519510963,58.73464814207557,159.65679238216921,6.679866009888187,3.856622438959576,154.45191932433943,167.18899383945217,-0.4391911799953235,0.5042747441559442,0.29114315928396406,-0.9864009993090059,0.006791448142063089,0.9983365712381022,0.00012706923239561542,7.336345552932769e-05,0.9982024129174889,0.998455106676736,0.0,0.0,0.0,0.0,0.0,196.33333333333334,3.7859388972001824,2.185812841434,192.0,199.0,498404.0,0.0,0.0,498404.0,498404.0,498643.0,0.0,0.0,498643.0,498643.0,4595.0,0.0,0.0,4595.0,4595.0,0.0,0.0,0.0,0.0,0.0
0.0,rankw000,train,3,29692.0,0.0,0.0,29692.0,29692.0,13.792470966963641,0.22043593493100014,0.12726874637147978,13.545636897585275,13.969709076098539,40.018461959239225,0.5525763374685432,0.3190300971852809,39.383041013638696,40.386379753709186,7.088215702357292,0.07705494547981259,0.04448769351516174,7.000532038749341,7.1451398112991615,27.20869470758065,0.5308305011090589,0.30647513270937915,26.66268783644918,27.722920848163163,41.75207814089358,0.811250794126702,0.4683758643693491,41.01911738294266,42.62373596042752,105.46349825247881,5.451704741885443,3.14754320026992,99.21094695009496,109.22245569650956,-1.29317533749156,0.37247271459348286,0.215047222036338,-1.7120132050534516,-0.9990979508615707,0.9983713846417888,4.4797650201152974e-05,2.5863935402698363e-05,0.9983415117844247,0.9984228934474543,0.0,0.0,0.0,0.0,0.0,196.33333333333334,3.7859388972001824,2.185812841434,192.0,199.0,498404.0,0.0,0.0,498404.0,498404.0,498643.0,0.0,0.0,498643.0,498643.0,4595.0,0.0,0.0,4595.0,4595.0,0.0,0.0,0.0,0.0,0.0
0.0,rankw000,val,3,3712.0,0.0,0.0,3712.0,3712.0,17.6105285862461,0.26834580138684017,0.15492952066659804,17.312300229862856,17.83247376545142,42.09077848958085,0.6267953048850089,0.36188043800215347,41.55967647584803,42.78214676063766,8.767615420531763,0.0641613621396267,0.03704357970288654,8.72881424646954,8.841674328614268,38.60586784648755,0.6413012438711208,0.3702554457806334,38.04347532470239,39.30426103207007,57.08143195009873,0.7694334979869027,0.4442326371862537,56.37171815472064,57.89916858844606,144.79219332168194,11.163779350807614,6.445411013362362,134.70850741872252,156.78884959570033,-2.2618795981624804,0.5578561755069674,0.32207841309804275,-2.5957284078202836,-1.617867945789892,0.9981869821028471,5.4133575547463426e-05,3.125403441452496e-05,0.9981272098327915,0.9982327080863859,0.0,0.0,0.0,0.0,0.0,196.33333333333334,3.7859388972001824,2.185812841434,192.0,199.0,498404.0,0.0,0.0,498404.0,498404.0,498643.0,0.0,0.0,498643.0,498643.0,4595.0,0.0,0.0,4595.0,4595.0,0.0,0.0,0.0,0.0,0.0
0.05,rankw005,test,3,3711.0,0.0,0.0,3711.0,3711.0,18.118613938002486,0.31278861678847747,0.18058859210227818,17.76308558247521,18.351481746358875,41.392505874267215,1.5353864514405724,0.8864557810493188,39.65520768284637,42.56735392626532,9.219477264748996,0.010090785827272991,0.005825917913710922,9.212284861144227,9.23101235541579,36.58863849157057,0.79638390916844,0.45979246433668536,35.71367386993529,37.27118204768698,58.59939418972795,1.6915477945497632,0.9766155745304236,57.612985495737234,60.55259249477958,161.81083373437548,6.495485524801975,3.750170316261738,154.66671717824173,167.36090393788507,-0.5305305916114434,0.6481986859513628,0.374237685822381,-0.9297168629516981,0.21737748736150117,0.998298850024598,0.0001249768285043075,7.215540557942764e-05,0.9982025604731667,0.9984400831958141,433.83328008651733,0.6384474972760684,0.368607834415781,433.2947838306427,434.53856897354126,196.0,5.291502622129181,3.0550504633038935,190.0,200.0,498404.0,0.0,0.0,498404.0,498404.0,498643.0,0.0,0.0,498643.0,498643.0,4595.0,0.0,0.0,4595.0,4595.0,1024.0,0.0,0.0,1024.0,1024.0
0.05,rankw005,train,3,29692.0,0.0,0.0,29692.0,29692.0,13.778111765833602,0.21720974357381845,0.12540610392295368,13.644365437778903,14.028734793812786,39.2944441409817,0.6695086210572457,0.386540982592176,38.82045570899744,40.06034573868523,7.147575548479511,0.06652827124420274,0.0384101153115609,7.071537560768116,7.195064452226202,27.114437526909047,0.19996108697627357,0.11544758739320173,26.93830269918411,27.33179851428336,41.30753784038506,0.8893388618890159,0.5134600313124188,40.59889373679964,42.305514506164386,104.42420018851088,4.000652209801159,2.3097776302627704,101.9506449844964,109.03978846785809,-1.2089436315675217,0.301215836989782,0.17390704457022907,-1.5008868739211068,-0.8992410179472952,0.9984296773935392,5.3742270005330765e-05,3.102811405443927e-05,0.998368181219981,0.9984676294419793,433.83328008651733,0.6384474972760684,0.368607834415781,433.2947838306427,434.53856897354126,196.0,5.291502622129181,3.0550504633038935,190.0,200.0,498404.0,0.0,0.0,498404.0,498404.0,498643.0,0.0,0.0,498643.0,498643.0,4595.0,0.0,0.0,4595.0,4595.0,1024.0,0.0,0.0,1024.0,1024.0
0.05,rankw005,val,3,3712.0,0.0,0.0,3712.0,3712.0,17.907569105487795,0.3393265084745465,0.19591025101095524,17.647892487127656,18.29151077899291,41.83999600755717,1.083885925746091,0.6257818310003525,40.9192399883928,43.034516350008055,8.843505603310097,0.15633483289558997,0.09025995785598404,8.70718530067549,9.014150686659866,38.39891141939477,0.6619511239881277,0.3821776596249209,37.65615960242783,38.92655342894745,58.36119424755007,1.7651100428999091,1.0190867584175745,56.39875374415849,59.81910508708275,149.65970515487766,2.977117887852662,1.7188398139609844,146.2232381805273,151.45700803449847,-2.0625274936309608,0.6705859024391326,0.3871629512880014,-2.5927125262117743,-1.3086985187347249,0.998207985574577,9.323250936560233e-05,5.3827814379454814e-05,0.9981050496867273,0.9982867565045483,433.83328008651733,0.6384474972760684,0.368607834415781,433.2947838306427,434.53856897354126,196.0,5.291502622129181,3.0550504633038935,190.0,200.0,498404.0,0.0,0.0,498404.0,498404.0,498643.0,0.0,0.0,498643.0,498643.0,4595.0,0.0,0.0,4595.0,4595.0,1024.0,0.0,0.0,1024.0,1024.0
0.1,rankw010,test,3,3711.0,0.0,0.0,3711.0,3711.0,18.679173265426712,0.3723579700935763,0.2149809742684289,18.262736679837666,18.980051611801034,42.670202289195764,1.3412742161747497,0.7743850297655961,41.1548403648714,43.704966635389084,9.540461230223192,0.20669114243332934,0.11933318672299398,9.395638639489334,9.777162030033482,37.066481416247576,1.492285872865691,0.8615716504068823,35.61435364498622,38.59591995190348,60.121370881193506,1.4287785440553464,0.8249056770227159,59.04215043109252,61.74166169874845,167.06025682063873,5.398422130149906,3.1167804700412813,161.3468417263345,172.07581301126373,-0.5933590018454167,0.6938341803858277,0.400585350818721,-1.131679808098304,0.18967288525158577,0.9981926745562114,0.00011271196323467074,6.507428231442835e-05,0.9981052035378755,0.998319870249717,435.26669478416443,1.6847529701322115,0.9726925808238539,433.97203540802,437.17151618003845,198.0,2.0,1.1547005383792517,196.0,200.0,498404.0,0.0,0.0,498404.0,498404.0,498643.0,0.0,0.0,498643.0,498643.0,4595.0,0.0,0.0,4595.0,4595.0,1024.0,0.0,0.0,1024.0,1024.0
0.1,rankw010,train,3,29692.0,0.0,0.0,29692.0,29692.0,14.068459861462818,0.2419459570130563,0.1396875634108297,13.867281012380179,14.336927661997898,39.70616283625309,0.8527627197633915,0.49234278581027147,39.1671956145457,40.6893270526034,7.285482995322963,0.12008507297124027,0.06933114920560143,7.15741333733183,7.395550929547634,27.678919858040743,0.5341265283271951,0.30837809491102636,27.091649030051926,28.13572965485261,41.953586184370145,0.534112628962516,0.30837007010908735,41.44968819660339,42.51349851026029,107.09826065492098,4.141481423299524,2.391085414585815,104.63282018389911,111.87965259156469,-1.1906298565097035,0.5162042199151103,0.2980306453248098,-1.5475027264452563,-0.5987347020956696,0.9983964152937442,6.927969917972858e-05,3.9998652970792595e-05,0.9983165370793234,0.9984401332717049,435.26669478416443,1.6847529701322115,0.9726925808238539,433.97203540802,437.17151618003845,198.0,2.0,1.1547005383792517,196.0,200.0,498404.0,0.0,0.0,498404.0,498404.0,498643.0,0.0,0.0,498643.0,498643.0,4595.0,0.0,0.0,4595.0,4595.0,1024.0,0.0,0.0,1024.0,1024.0
0.1,rankw010,val,3,3712.0,0.0,0.0,3712.0,3712.0,18.553740431613278,0.22398641448517015,0.1293186166978321,18.332192816233242,18.780088477191708,42.631378725183936,1.1685121288432387,0.6746407921389866,41.34647728979431,43.63046906666446,9.257981569634829,0.16403317665104525,0.09470459869551041,9.078574653551108,9.40028495056855,39.6988780229152,0.6261144747280009,0.36148736052773245,39.30471803597531,40.42083682524066,60.560182807958604,1.9179951648599325,1.1073550247362827,58.364245299191765,61.90734886493427,158.5226436683913,4.234569773532445,2.4448299986512096,155.98781450787675,163.41118542290917,-2.2071098011077175,0.9227032322489594,0.5327229595210745,-2.826360002361907,-1.1466330866529226,0.998139454921397,0.00010146294446614196,5.8579658300299115e-05,0.9980522027952986,0.9982507938264203,435.26669478416443,1.6847529701322115,0.9726925808238539,433.97203540802,437.17151618003845,198.0,2.0,1.1547005383792517,196.0,200.0,498404.0,0.0,0.0,498404.0,498404.0,498643.0,0.0,0.0,498643.0,498643.0,4595.0,0.0,0.0,4595.0,4595.0,1024.0,0.0,0.0,1024.0,1024.0
0.2,rankw020,test,3,3711.0,0.0,0.0,3711.0,3711.0,19.662452456678903,0.3239719396192018,0.18704528654903135,19.406971423511333,20.026846515237768,44.479794517891115,0.7753923126258442,0.44767296042209764,43.62441790425748,45.136570963021,10.021905024738878,0.08635157427259937,0.04985510465123322,9.948828313939062,10.117192338711396,39.661684849483244,0.5877683785132307,0.3393482315557636,39.22221077876745,40.3293265316762,61.92301734227988,1.3684988915702336,0.7901032034337789,60.95572268765348,63.48881299795539,173.78298032719997,10.473594198005626,6.046932429601451,163.7033188484778,184.6104266187786,-0.184165069786464,0.6383407940153688,0.36854622925949265,-0.7452214915032793,0.5103567860013241,0.9980370262132939,6.821149690767878e-05,3.938192610147567e-05,0.9979790382020518,0.9981121813630139,323.97060855229694,193.36512661825813,111.63940790493741,100.69353222846985,436.3724181652069,196.33333333333334,3.5118845842842465,2.0275875100994067,193.0,200.0,498404.0,0.0,0.0,498404.0,498404.0,498643.0,0.0,0.0,498643.0,498643.0,4595.0,0.0,0.0,4595.0,4595.0,1024.0,0.0,0.0,1024.0,1024.0
