run_id,rank_weight,rank_tag,seed,protocol_pass,violations,metrics_path,predictions_path,trainable_params,total_params,ranking_train_pairs,ranking_formula_groups,ranking_pairs_per_step
rankw000_seed20260528,0.0,rankw000,20260528,True,,<RUNS_ROOT>/npj_r2scan_protocol_20260909/runs/formdelta/formdelta_frac1000_seed20260528/metrics.json,<RUNS_ROOT>/npj_r2scan_protocol_20260909/runs/formdelta/formdelta_frac1000_seed20260528/r2scan_formdelta_predictions.csv,498404,498643,4595,810,0
rankw000_seed20260529,0.0,rankw000,20260529,True,,<RUNS_ROOT>/npj_r2scan_protocol_20260909/runs/formdelta/formdelta_frac1000_seed20260529/metrics.json,<RUNS_ROOT>/npj_r2scan_protocol_20260909/runs/formdelta/formdelta_frac1000_seed20260529/r2scan_formdelta_predictions.csv,498404,498643,4595,810,0
rankw000_seed20260530,0.0,rankw000,20260530,True,,<RUNS_ROOT>/npj_r2scan_protocol_20260909/runs/formdelta/formdelta_frac1000_seed20260530/metrics.json,<RUNS_ROOT>/npj_r2scan_protocol_20260909/runs/formdelta/formdelta_frac1000_seed20260530/r2scan_formdelta_predictions.csv,498404,498643,4595,810,0
rankw005_seed20260528,0.05,rankw005,20260528,True,,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260528/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260528/r2scan_formdelta_rankw005_predictions.csv,498404,498643,4595,810,1024
rankw005_seed20260529,0.05,rankw005,20260529,True,,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260529/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260529/r2scan_formdelta_rankw005_predictions.csv,498404,498643,4595,810,1024
rankw005_seed20260530,0.05,rankw005,20260530,True,,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260530/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260530/r2scan_formdelta_rankw005_predictions.csv,498404,498643,4595,810,1024
rankw010_seed20260528,0.1,rankw010,20260528,True,,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260528/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260528/r2scan_formdelta_rankw010_predictions.csv,498404,498643,4595,810,1024
rankw010_seed20260529,0.1,rankw010,20260529,True,,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260529/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260529/r2scan_formdelta_rankw010_predictions.csv,498404,498643,4595,810,1024
rankw010_seed20260530,0.1,rankw010,20260530,True,,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260530/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260530/r2scan_formdelta_rankw010_predictions.csv,498404,498643,4595,810,1024
rankw020_seed20260528,0.2,rankw020,20260528,True,,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260528/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260528/r2scan_formdelta_rankw020_predictions.csv,498404,498643,4595,810,1024
rankw020_seed20260529,0.2,rankw020,20260529,True,,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260529/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260529/r2scan_formdelta_rankw020_predictions.csv,498404,498643,4595,810,1024
rankw020_seed20260530,0.2,rankw020,20260530,True,,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260530/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260530/r2scan_formdelta_rankw020_predictions.csv,498404,498643,4595,810,1024
