lambda,seed,method,mae_mev_atom,pair_accuracy,top1_accuracy,near_degenerate_accuracy,n_formula_groups,pair_count
0.0,20260528,rankw000_seed20260528,17.43106411348828,0.73,0.6666666666666666,0.6923076923076923,78,200
0.0,20260529,rankw000_seed20260529,18.18901574380292,0.71,0.6410256410256411,0.6686390532544378,78,200
0.0,20260530,rankw000_seed20260530,17.796354542100215,0.825,0.782051282051282,0.7988165680473372,78,200
0.05,20260528,rankw005_seed20260528,17.763086281069796,0.69,0.6282051282051282,0.650887573964497,78,200
0.05,20260529,rankw005_seed20260529,18.351481625985848,0.74,0.7051282051282052,0.6982248520710059,78,200
0.05,20260530,rankw005_seed20260530,18.241274816220976,0.78,0.782051282051282,0.7455621301775148,78,200
0.1,20260528,rankw010_seed20260528,18.26273720988475,0.695,0.6538461538461539,0.650887573964497,78,200
0.1,20260529,rankw010_seed20260529,18.98005200033116,0.73,0.717948717948718,0.6804733727810651,78,200
0.1,20260530,rankw010_seed20260530,18.79473060759952,0.76,0.7692307692307693,0.7159763313609467,78,200
0.2,20260528,rankw020_seed20260528,19.553539438672036,0.69,0.6794871794871795,0.6627218934911243,78,200
0.2,20260529,rankw020_seed20260529,20.02684681496644,0.735,0.717948717948718,0.7041420118343196,78,200
0.2,20260530,rankw020_seed20260530,19.406971408179015,0.74,0.717948717948718,0.6923076923076923,78,200
