method,formula_group,n_structures,pair_count,pairwise_order_accuracy,pairwise_tie_rate,top1_correct,spearman_rho,near_degenerate_pair_count,near_degenerate_pair_accuracy,near_degenerate_tie_rate,true_energy_range_mev_atom,pred_energy_range_mev_atom
frozen,Li4V3P8O29,3,3,0.0,0.0,False,-1.0,3,0.0,0.0,3.9783946590916663,3.9031505584716797
frozen,Li7Mn2(CoO4)3,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,17.12588874999943,0.4965066909783378
frozen,LiMn3O6,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,1.810958500000348,7.568836212158647
frozen,Bi2Pt,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,10.145128333333114,17.345279455184937
frozen,Te2Mo,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,14.670166666666319,67.6848292350769
frozen,MnFeCo(PO4)3,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,4.826321666666633,6.869316101074219
frozen,SbH3CS2N,2,1,0.0,0.0,False,-0.9999999999999999,0,,,44.47482374999979,285.60055792331696
frozen,BaFe4Sn2O11,2,1,0.0,0.0,False,-0.9999999999999999,0,,,40.74049444444494,9.494066238402876
frozen,Li5V3P8O29,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,4.247854666666218,6.443023681640625
frozen,ZrTi2(PbO3)3,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,8.470960666666638,11.135339736938477
frozen,CdI2,4,6,0.6666666666666666,0.0,True,0.39999999999999997,6,0.6666666666666666,0.0,6.41431214285737,10.409414768218994
frozen,CrN2,4,6,0.8333333333333334,0.0,True,0.7999999999999999,2,0.5,0.0,147.01220083333422,254.21836972236628
frozen,Li9Mn2Co5O16,8,28,0.8928571428571429,0.0,False,0.9047619047619048,14,0.7857142857142857,0.0,61.79282625000005,37.97924518585205
frozen,SiO2,5,10,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,292.54352500000147,279.3457508087158
frozen,LiCoPO4,4,6,1.0,0.0,True,1.0,2,1.0,0.0,76.20113333333211,117.26856231689453
frozen,Li2Cr2O7,3,3,1.0,0.0,True,1.0,1,1.0,0.0,41.94014181818106,57.26921558380127
frozen,CeSe2,3,3,1.0,0.0,True,1.0,0,,,445.368716875,165.10653495788574
frozen,Li7Mn4CoO12,3,3,1.0,0.0,True,1.0,2,1.0,0.0,30.706641666667256,21.679401397705078
frozen,Na5(AsO9)2,2,1,1.0,0.0,True,0.9999999999999999,0,,,288.716625799999,21.413207054138404
frozen,Li3MnCoO5,2,1,1.0,0.0,True,0.9999999999999999,0,,,48.65955049999982,32.460689544677734
frozen,FeHO2,2,1,1.0,0.0,True,0.9999999999999999,0,,,113.55212671875049,26.198267936706543
frozen,LiMnP2O7,2,1,1.0,0.0,True,0.9999999999999999,0,,,36.3000484090894,24.038314819335938
frozen,Li7V3P8O29,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,1.0445322340433272,4.6596527099609375
frozen,Li2MnNi3O8,2,1,1.0,0.0,True,0.9999999999999999,0,,,28.894680000000506,49.31294918060303
frozen,LiFePO4,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,23.16401166666804,30.840158462524858
frozen,Mn12O5F19,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,1.9605144444438949,2.2165775299067825
frozen,Li2MnCoO4,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,2.4843112499994824,5.4525136947629615
frozen,GaCuTe2,2,1,1.0,0.0,True,0.9999999999999999,0,,,204.86582499999977,356.9924384355545
frozen,Cr(GeO3)2,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,7.225673333334459,33.7462425231938
frozen,LiMnPO4,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,23.38515142857256,15.942096710205078
frozen,LiTl2Pd,2,1,1.0,0.0,True,0.9999999999999999,0,,,1207.5157124999998,203.7881314754487
frozen,Li3MnV(PO4)3,2,1,1.0,0.0,True,0.9999999999999999,0,,,42.17634337499865,38.25998306274414
frozen,LiMn2F5,2,1,1.0,0.0,True,0.9999999999999999,0,,,36.38606729166671,38.266897201538086
frozen,Ti(FeO2)2,2,1,1.0,0.0,True,0.9999999999999999,0,,,54.65193392857248,14.949798583984375
