run_id,rank_weight,seed,status,gpu,out_dir,metrics_path,predictions_path,elapsed_s,error
rankw000_seed20260528,0.0,20260528,reused_canonical_lambda0,0,<RUNS_ROOT>/npj_r2scan_protocol_20260909/runs/formdelta/formdelta_frac1000_seed20260528,<RUNS_ROOT>/npj_r2scan_protocol_20260909/runs/formdelta/formdelta_frac1000_seed20260528/metrics.json,<RUNS_ROOT>/npj_r2scan_protocol_20260909/runs/formdelta/formdelta_frac1000_seed20260528/r2scan_formdelta_predictions.csv,0.0,
rankw000_seed20260529,0.0,20260529,reused_canonical_lambda0,1,<RUNS_ROOT>/npj_r2scan_protocol_20260909/runs/formdelta/formdelta_frac1000_seed20260529,<RUNS_ROOT>/npj_r2scan_protocol_20260909/runs/formdelta/formdelta_frac1000_seed20260529/metrics.json,<RUNS_ROOT>/npj_r2scan_protocol_20260909/runs/formdelta/formdelta_frac1000_seed20260529/r2scan_formdelta_predictions.csv,0.0,
rankw000_seed20260530,0.0,20260530,reused_canonical_lambda0,2,<RUNS_ROOT>/npj_r2scan_protocol_20260909/runs/formdelta/formdelta_frac1000_seed20260530,<RUNS_ROOT>/npj_r2scan_protocol_20260909/runs/formdelta/formdelta_frac1000_seed20260530/metrics.json,<RUNS_ROOT>/npj_r2scan_protocol_20260909/runs/formdelta/formdelta_frac1000_seed20260530/r2scan_formdelta_predictions.csv,0.0,
rankw005_seed20260528,0.05,20260528,completed,3,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260528,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260528/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260528/r2scan_formdelta_rankw005_predictions.csv,434.53856897354126,
rankw005_seed20260529,0.05,20260529,completed,0,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260529,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260529/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260529/r2scan_formdelta_rankw005_predictions.csv,433.2947838306427,
rankw005_seed20260530,0.05,20260530,completed,1,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260530,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260530/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260530/r2scan_formdelta_rankw005_predictions.csv,433.66648745536804,
rankw010_seed20260528,0.1,20260528,completed,2,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260528,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260528/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260528/r2scan_formdelta_rankw010_predictions.csv,434.6565327644348,
rankw010_seed20260529,0.1,20260529,completed,0,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260529,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260529/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260529/r2scan_formdelta_rankw010_predictions.csv,433.97203540802,
rankw010_seed20260530,0.1,20260530,completed,1,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260530,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260530/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260530/r2scan_formdelta_rankw010_predictions.csv,437.17151618003845,
rankw020_seed20260528,0.2,20260528,completed,3,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260528,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260528/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260528/r2scan_formdelta_rankw020_predictions.csv,436.3724181652069,
rankw020_seed20260529,0.2,20260529,completed,2,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260529,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260529/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260529/r2scan_formdelta_rankw020_predictions.csv,434.8458752632141,
rankw020_seed20260530,0.2,20260530,completed,0,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260530,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260530/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260530/r2scan_formdelta_rankw020_predictions.csv,100.69353222846985,
