comparison,seed,base_rank_weight,method_rank_weight,base_run_id,method_run_id,split,independent_unit,n,base_mae_mev_atom,method_mae_mev_atom,delta_base_minus_method_mev_atom,ci95_low_mev_atom,ci95_high_mev_atom,p_improvement_le_0,bootstrap_samples,interpretation
lambda0_vs_rank_weight,20260528,0.0,0.05,rankw000_seed20260528,rankw005_seed20260528,test,structure row,3711,17.43106411348828,17.763086281069796,-0.3320221675815167,-0.6506718525699775,-0.004497592999252729,0.9766,10000,rank_weight_higher_mae_ci_excludes_0
element_reference_vs_rank_weight,20260528,,0.05,element_reference_seed20260528,rankw005_seed20260528,test,structure row,3711,103.98907807846916,17.763086281069796,86.22599179739939,82.30946039199452,90.18543089407024,0.0,10000,rank_weight_improves_over_element_ref_ci_excludes_0
lambda0_vs_rank_weight,20260528,0.0,0.1,rankw000_seed20260528,rankw010_seed20260528,test,structure row,3711,17.43106411348828,18.262737209884744,-0.831673096396468,-1.2433180561987465,-0.4354717176179652,1.0,10000,rank_weight_higher_mae_ci_excludes_0
element_reference_vs_rank_weight,20260528,,0.1,element_reference_seed20260528,rankw010_seed20260528,test,structure row,3711,103.98907807846916,18.262737209884744,85.72634086858443,81.81745121575892,89.75159934306558,0.0,10000,rank_weight_improves_over_element_ref_ci_excludes_0
lambda0_vs_rank_weight,20260528,0.0,0.2,rankw000_seed20260528,rankw020_seed20260528,test,structure row,3711,17.43106411348828,19.553539438672033,-2.122475325183753,-2.7622873108482127,-1.5638636157557322,1.0,10000,rank_weight_higher_mae_ci_excludes_0
element_reference_vs_rank_weight,20260528,,0.2,element_reference_seed20260528,rankw020_seed20260528,test,structure row,3711,103.98907807846916,19.553539438672033,84.43553863979713,80.47949473818929,88.36902244947811,0.0,10000,rank_weight_improves_over_element_ref_ci_excludes_0
lambda0_vs_rank_weight,20260529,0.0,0.05,rankw000_seed20260529,rankw005_seed20260529,test,structure row,3711,18.189015743802916,18.351481625985848,-0.16246588218293226,-0.5120848401495264,0.2098033432411726,0.8112,10000,not_distinguishable_by_structure_bootstrap_ci
element_reference_vs_rank_weight,20260529,,0.05,element_reference_seed20260529,rankw005_seed20260529,test,structure row,3711,103.98907807846916,18.351481625985848,85.63759645248332,81.68454675437872,89.638587352253,0.0,10000,rank_weight_improves_over_element_ref_ci_excludes_0
lambda0_vs_rank_weight,20260529,0.0,0.1,rankw000_seed20260529,rankw010_seed20260529,test,structure row,3711,18.189015743802916,18.980052000331167,-0.7910362565282458,-1.1930528351886953,-0.38164802138744147,1.0,10000,rank_weight_higher_mae_ci_excludes_0
element_reference_vs_rank_weight,20260529,,0.1,element_reference_seed20260529,rankw010_seed20260529,test,structure row,3711,103.98907807846916,18.980052000331167,85.009026078138,81.09758830993454,88.97440135551348,0.0,10000,rank_weight_improves_over_element_ref_ci_excludes_0
lambda0_vs_rank_weight,20260529,0.0,0.2,rankw000_seed20260529,rankw020_seed20260529,test,structure row,3711,18.189015743802916,20.026846814966436,-1.8378310711635175,-2.3072328374198605,-1.3729027681941393,1.0,10000,rank_weight_higher_mae_ci_excludes_0
element_reference_vs_rank_weight,20260529,,0.2,element_reference_seed20260529,rankw020_seed20260529,test,structure row,3711,103.98907807846916,20.026846814966436,83.96223126350274,80.08748851462569,87.86617228507534,0.0,10000,rank_weight_improves_over_element_ref_ci_excludes_0
lambda0_vs_rank_weight,20260530,0.0,0.05,rankw000_seed20260530,rankw005_seed20260530,test,structure row,3711,17.796354542100218,18.241274816220972,-0.44492027412075885,-0.7616200008213181,-0.12393685151272127,0.9953,10000,rank_weight_higher_mae_ci_excludes_0
element_reference_vs_rank_weight,20260530,,0.05,element_reference_seed20260530,rankw005_seed20260530,test,structure row,3711,103.98907807846916,18.241274816220972,85.7478032622482,81.84509240503266,89.76857471651805,0.0,10000,rank_weight_improves_over_element_ref_ci_excludes_0
lambda0_vs_rank_weight,20260530,0.0,0.1,rankw000_seed20260530,rankw010_seed20260530,test,structure row,3711,17.796354542100218,18.794730607599515,-0.9983760654992987,-1.3986374562610637,-0.611177009724897,1.0,10000,rank_weight_higher_mae_ci_excludes_0
element_reference_vs_rank_weight,20260530,,0.1,element_reference_seed20260530,rankw010_seed20260530,test,structure row,3711,103.98907807846916,18.794730607599515,85.19434747086966,81.30903235128106,89.19566761308137,0.0,10000,rank_weight_improves_over_element_ref_ci_excludes_0
lambda0_vs_rank_weight,20260530,0.0,0.2,rankw000_seed20260530,rankw020_seed20260530,test,structure row,3711,17.796354542100218,19.406971408179015,-1.6106168660788005,-2.1101177500846098,-1.1380632602202947,1.0,10000,rank_weight_higher_mae_ci_excludes_0
element_reference_vs_rank_weight,20260530,,0.2,element_reference_seed20260530,rankw020_seed20260530,test,structure row,3711,103.98907807846916,19.406971408179015,84.58210667029014,80.74576912800364,88.550316292552,0.0,10000,rank_weight_improves_over_element_ref_ci_excludes_0
