method,n_test_rows,mae_mev_atom,rmse_mev_atom,median_abs_mev_atom,p95_abs_mev_atom,bias_mev_atom,n_formula_groups,pair_count,pairwise_order_accuracy,pairwise_tie_rate,top1_groups,top1_accuracy,near_degenerate_pair_count,near_degenerate_pair_accuracy,near_degenerate_tie_rate,spearman_group_mean,spearman_group_median,spearman_pair_weighted_mean,predictions_csv,pred_col,target_col,seed,rank_tag,rank_weight,method_family
raw_seed20260528,3711,4511.14619559229,4891.874148198089,4328.789101071778,8016.205878182313,-4511.14619559229,78,200,0.805,0.0,78,0.7051282051282052,169,0.7810650887573964,0.0,0.4396167934629473,1.0,0.6611428571428571,<RUNS_ROOT>/npj_r2scan_protocol_20260909/inputs/frac1000_seed20260528/calibrated_predictions.csv,model_energy_per_atom,y_true,20260528,,,raw
element_reference_seed20260528,3711,103.98907226897538,166.80174919763675,65.15005878055958,364.1270690313595,-4.354698229303327,78,200,0.805,0.0,78,0.7051282051282052,169,0.7810650887573964,0.0,0.4396167934629473,1.0,0.6611428571428571,<RUNS_ROOT>/npj_r2scan_protocol_20260909/inputs/frac1000_seed20260528/calibrated_predictions.csv,pred_element_reference,y_true,20260528,,,element_reference
affine_energy_composition_seed20260528,3711,104.15822204048794,166.82904326153488,65.50261150414217,363.3282715390909,-4.33025172621445,78,200,0.805,0.0,78,0.7051282051282052,169,0.7810650887573964,0.0,0.4396167934629473,1.0,0.6611428571428571,<RUNS_ROOT>/npj_r2scan_protocol_20260909/inputs/frac1000_seed20260528/calibrated_predictions.csv,pred_affine_energy_composition,y_true,20260528,,,affine_energy_composition
composition_only_linear_seed20260528,3711,374.516003064601,537.9054083814397,238.67819920117773,1161.0103018116615,3.0817159959828726,78,200,0.0,1.0,78,0.4615384615384615,169,0.0,1.0,,,,<RUNS_ROOT>/npj_r2scan_protocol_20260909/inputs/frac1000_seed20260528/calibrated_predictions.csv,pred_composition_only_linear,y_true,20260528,,,composition_only_linear
raw_seed20260529,3711,4511.14619559229,4891.874148198089,4328.789101071778,8016.205878182313,-4511.14619559229,78,200,0.805,0.0,78,0.7051282051282052,169,0.7810650887573964,0.0,0.4396167934629473,1.0,0.6611428571428571,<RUNS_ROOT>/npj_r2scan_protocol_20260909/inputs/frac1000_seed20260529/calibrated_predictions.csv,model_energy_per_atom,y_true,20260529,,,raw
element_reference_seed20260529,3711,103.98907226897538,166.80174919763675,65.15005878055958,364.1270690313595,-4.354698229303327,78,200,0.805,0.0,78,0.7051282051282052,169,0.7810650887573964,0.0,0.4396167934629473,1.0,0.6611428571428571,<RUNS_ROOT>/npj_r2scan_protocol_20260909/inputs/frac1000_seed20260529/calibrated_predictions.csv,pred_element_reference,y_true,20260529,,,element_reference
affine_energy_composition_seed20260529,3711,104.15822204048794,166.82904326153488,65.50261150414217,363.3282715390909,-4.33025172621445,78,200,0.805,0.0,78,0.7051282051282052,169,0.7810650887573964,0.0,0.4396167934629473,1.0,0.6611428571428571,<RUNS_ROOT>/npj_r2scan_protocol_20260909/inputs/frac1000_seed20260529/calibrated_predictions.csv,pred_affine_energy_composition,y_true,20260529,,,affine_energy_composition
composition_only_linear_seed20260529,3711,374.516003064601,537.9054083814397,238.67819920117773,1161.0103018116615,3.0817159959828726,78,200,0.0,1.0,78,0.4615384615384615,169,0.0,1.0,,,,<RUNS_ROOT>/npj_r2scan_protocol_20260909/inputs/frac1000_seed20260529/calibrated_predictions.csv,pred_composition_only_linear,y_true,20260529,,,composition_only_linear
raw_seed20260530,3711,4511.14619559229,4891.874148198089,4328.789101071778,8016.205878182313,-4511.14619559229,78,200,0.805,0.0,78,0.7051282051282052,169,0.7810650887573964,0.0,0.4396167934629473,1.0,0.6611428571428571,<RUNS_ROOT>/npj_r2scan_protocol_20260909/inputs/frac1000_seed20260530/calibrated_predictions.csv,model_energy_per_atom,y_true,20260530,,,raw
element_reference_seed20260530,3711,103.98907226897538,166.80174919763675,65.15005878055958,364.1270690313595,-4.354698229303327,78,200,0.805,0.0,78,0.7051282051282052,169,0.7810650887573964,0.0,0.4396167934629473,1.0,0.6611428571428571,<RUNS_ROOT>/npj_r2scan_protocol_20260909/inputs/frac1000_seed20260530/calibrated_predictions.csv,pred_element_reference,y_true,20260530,,,element_reference
affine_energy_composition_seed20260530,3711,104.15822204048794,166.82904326153488,65.50261150414217,363.3282715390909,-4.33025172621445,78,200,0.805,0.0,78,0.7051282051282052,169,0.7810650887573964,0.0,0.4396167934629473,1.0,0.6611428571428571,<RUNS_ROOT>/npj_r2scan_protocol_20260909/inputs/frac1000_seed20260530/calibrated_predictions.csv,pred_affine_energy_composition,y_true,20260530,,,affine_energy_composition
composition_only_linear_seed20260530,3711,374.516003064601,537.9054083814397,238.67819920117773,1161.0103018116615,3.0817159959828726,78,200,0.0,1.0,78,0.4615384615384615,169,0.0,1.0,,,,<RUNS_ROOT>/npj_r2scan_protocol_20260909/inputs/frac1000_seed20260530/calibrated_predictions.csv,pred_composition_only_linear,y_true,20260530,,,composition_only_linear
rankw000_seed20260528,3711,17.43106411348828,39.46378691235222,8.89355591666341,56.21200541666718,0.0067912633568067,78,200,0.73,0.0,78,0.6666666666666666,169,0.6923076923076923,0.0,0.412313327697943,1.0,0.5170714285714285,<RUNS_ROOT>/npj_r2scan_protocol_20260909/runs/formdelta/formdelta_frac1000_seed20260528/r2scan_formdelta_predictions.csv,pred_r2scan_formdelta,y_true,20260528,rankw000,0.0,rankw000
rankw000_seed20260529,3711,18.18901574380292,42.56910109401161,9.34982000000073,58.73465424025065,-0.3379642324432501,78,200,0.71,0.005,78,0.6410256410256411,169,0.6686390532544378,0.0059171597633136,0.3573854716711859,1.0,0.4811916726489591,<RUNS_ROOT>/npj_r2scan_protocol_20260909/runs/formdelta/formdelta_frac1000_seed20260529/r2scan_formdelta_predictions.csv,pred_r2scan_formdelta,y_true,20260529,rankw000,0.0,rankw000
rankw000_seed20260530,3711,17.796354542100215,40.757030291236205,9.1418153749999,56.45491577193025,-0.9864012440552148,78,200,0.825,0.0,78,0.782051282051282,169,0.7988165680473372,0.0,0.6227810650887573,1.0,0.7105,<RUNS_ROOT>/npj_r2scan_protocol_20260909/runs/formdelta/formdelta_frac1000_seed20260530/r2scan_formdelta_predictions.csv,pred_r2scan_formdelta,y_true,20260530,rankw000,0.0,rankw000
rankw005_seed20260528,3711,17.763086281069796,39.65520818642512,9.230982777779118,57.612981785181205,0.2173768590560756,78,200,0.69,0.0,78,0.6282051282051282,169,0.650887573964497,0.0,0.3394054663285432,1.0,0.4607142857142857,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260528/r2scan_formdelta_rankw005_predictions.csv,pred_r2scan_formdelta_rankw005,y_true,20260528,rankw005,0.05,rankw005
rankw005_seed20260529,3711,18.351481625985848,42.56735428367296,9.215155208332714,60.55262204557237,-0.9297167137005904,78,200,0.74,0.0,78,0.7051282051282052,169,0.6982248520710059,0.0,0.4551000281769512,1.0,0.5526428571428572,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260529/r2scan_formdelta_rankw005_predictions.csv,pred_r2scan_formdelta_rankw005,y_true,20260529,rankw005,0.05,rankw005
rankw005_seed20260530,3711,18.241274816220976,41.95495707117278,9.212287187499223,57.63260437500036,-0.8792526205434908,78,200,0.78,0.0,78,0.782051282051282,169,0.7455621301775148,0.0,0.6025922795153564,1.0,0.6323571428571428,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw005/rankw005_seed20260530/r2scan_formdelta_rankw005_predictions.csv,pred_r2scan_formdelta_rankw005,y_true,20260530,rankw005,0.05,rankw005
rankw010_seed20260528,3711,18.26273720988475,41.15484160361564,9.4485825416622,59.042161847222594,0.189672881626812,78,200,0.695,0.0,78,0.6538461538461539,169,0.650887573964497,0.0,0.3889264581572273,1.0,0.446142857142857,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260528/r2scan_formdelta_rankw010_predictions.csv,pred_r2scan_formdelta_rankw010,y_true,20260528,rankw010,0.1,rankw010
rankw010_seed20260529,3711,18.98005200033116,43.7049667493705,9.77717500000419,61.74168087500264,-0.8380701804049838,78,200,0.73,0.0,78,0.717948717948718,169,0.6804733727810651,0.0,0.5036489151873766,1.0,0.5085,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260529/r2scan_formdelta_rankw010_predictions.csv,pred_r2scan_formdelta_rankw010,y_true,20260529,rankw010,0.1,rankw010
rankw010_seed20260530,3711,18.79473060759952,43.15079875040493,9.395643636361308,59.58034248097888,-1.131679670165156,78,200,0.76,0.0,78,0.7692307692307693,169,0.7159763313609467,0.0,0.5524936601859678,1.0,0.6123571428571428,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260530/r2scan_formdelta_rankw010_predictions.csv,pred_r2scan_formdelta_rankw010,y_true,20260530,rankw010,0.1,rankw010
rankw020_seed20260528,3711,19.553539438672036,44.67839412425681,10.117192624996797,61.32451610632173,0.5103566471724881,78,200,0.69,0.0,78,0.6794871794871795,169,0.6627218934911243,0.0,0.4577909270216962,1.0,0.4715,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260528/r2scan_formdelta_rankw020_predictions.csv,pred_r2scan_formdelta_rankw020,y_true,20260528,rankw020,0.2,rankw020
rankw020_seed20260529,3711,20.02684681496644,45.13657193432365,9.999686666668117,63.48882464460765,-0.3176309734101035,78,200,0.735,0.0,78,0.717948717948718,169,0.7041420118343196,0.0,0.5264299802761341,1.0,0.5385,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260529/r2scan_formdelta_rankw020_predictions.csv,pred_r2scan_formdelta_rankw020,y_true,20260529,rankw020,0.2,rankw020
rankw020_seed20260530,3711,19.406971408179015,43.62441713207893,9.94885512820909,60.955693234375886,-0.745221739383696,78,200,0.74,0.0,78,0.717948717948718,169,0.6923076923076923,0.0,0.5106790645252184,1.0,0.5498571428571428,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260530/r2scan_formdelta_rankw020_predictions.csv,pred_r2scan_formdelta_rankw020,y_true,20260530,rankw020,0.2,rankw020
