method,truth_source,threshold_mev_atom,n,base_rate,discovery_acceleration_factor,precision,recall,f1,accuracy,tp,fp,fn,tn
canonical_formdelta,published,0,4981,0.22425215820116443,0.0,0.0,0.0,0.0,0.7725356354145754,0,16,1117,3848
canonical_formdelta,published,25,4981,0.32824733989158805,0.2538735983690112,0.08333333333333333,0.007339449541284404,0.013490725126475547,0.6476611122264605,12,132,1623,3214
canonical_formdelta,published,50,4981,0.43224252158201165,0.5247149745500165,0.2268041237113402,0.030654900139340455,0.054009819967266774,0.5358361774744027,66,225,2087,2603
canonical_formdelta,formal_true,0,4981,0.0,,0.0,0.0,0.0,0.9967877936157398,0,16,0,4965
canonical_formdelta,formal_true,25,4981,0.024894599478016463,29.848062275985665,0.7430555555555556,0.8629032258064516,0.7985074626865671,0.9891588034531219,107,37,17,4820
canonical_formdelta,formal_true,50,4981,0.05400521983537442,16.225999310159814,0.8762886597938144,0.9479553903345725,0.9107142857142857,0.9899618550491869,255,36,14,4676
composition_only_linear,published,0,4981,0.22425215820116443,0.2585081675813839,0.057971014492753624,0.017905102954341987,0.027359781121751026,0.7145151575988757,20,325,1097,3539
composition_only_linear,published,25,4981,0.32824733989158805,0.3332090978593272,0.109375,0.02996941896024465,0.04704752760441671,0.6014856454527203,49,399,1586,2947
composition_only_linear,published,50,4981,0.43224252158201165,0.5022223397626088,0.21708185053380782,0.0566651184393869,0.08987108655616943,0.5039148765308171,122,440,2031,2388
composition_only_linear,formal_true,0,4981,0.0,,0.0,0.0,0.0,0.9307367998393897,0,345,0,4636
composition_only_linear,formal_true,25,4981,0.024894599478016463,7.71108150921659,0.19196428571428573,0.6935483870967742,0.3006993006993007,0.9196948403934952,86,362,38,4495
composition_only_linear,formal_true,50,4981,0.05400521983537442,7.28148937014645,0.3932384341637011,0.8215613382899628,0.5318892900120337,0.9219032322826741,221,341,48,4371
matris_affine_base,published,0,4981,0.22425215820116443,0.24546417747406635,0.05504587155963303,0.01611459265890779,0.024930747922437674,0.7173258381851034,18,309,1099,3555
matris_affine_base,published,25,4981,0.32824733989158805,0.33208110497557863,0.10900473933649289,0.028134556574923548,0.04472532814778804,0.6055009034330455,46,376,1589,2970
matris_affine_base,published,50,4981,0.43224252158201165,0.49637004249537264,0.21455223880597016,0.053413841151881095,0.0855336556340647,0.5063240313190123,115,421,2038,2407
matris_affine_base,formal_true,0,4981,0.0,,0.0,0.0,0.0,0.9343505320216824,0,327,0,4654
matris_affine_base,formal_true,25,4981,0.024894599478016463,9.233240330224735,0.22985781990521326,0.782258064516129,0.3553113553113553,0.9293314595462758,97,325,27,4532
matris_affine_base,formal_true,50,4981,0.05400521983537442,7.9110650280197525,0.42723880597014924,0.8513011152416357,0.568944099378882,0.9303352740413572,229,307,40,4405
matris_element_reference,published,0,4981,0.22425215820116443,0.6124313669739223,0.13733905579399142,0.05729632945389436,0.08085912823752368,0.7078899819313391,64,402,1053,3462
matris_element_reference,published,25,4981,0.32824733989158805,0.8219756505683457,0.269811320754717,0.0874617737003058,0.13210161662817552,0.6227665127484441,143,387,1492,2959
matris_element_reference,published,50,4981,0.43224252158201165,0.8979579144591306,0.38813559322033897,0.1063632141198328,0.16697047028800582,0.5412567757478418,229,361,1924,2467
matris_element_reference,formal_true,0,4981,0.0,,0.0,0.0,0.0,0.906444489058422,0,466,0,4515
matris_element_reference,formal_true,25,4981,0.024894599478016463,5.078012781497261,0.12641509433962264,0.5403225806451613,0.20489296636085627,0.8956032925115439,67,463,57,4394
matris_element_reference,formal_true,50,4981,0.05400521983537442,4.362415726797304,0.23559322033898306,0.516728624535316,0.32363213038416766,0.8833567556715519,139,451,130,4261
matris_raw_as_formation,published,0,4981,0.22425215820116443,1.0,0.22425215820116443,1.0,0.36634962282715644,0.22425215820116443,1117,3864,0,0
matris_raw_as_formation,published,25,4981,0.32824733989158805,1.0,0.32824733989158805,1.0,0.49425634824667475,0.32824733989158805,1635,3346,0,0
matris_raw_as_formation,published,50,4981,0.43224252158201165,1.0,0.43224252158201165,1.0,0.6035884496776002,0.43224252158201165,2153,2828,0,0
matris_raw_as_formation,formal_true,0,4981,0.0,,0.0,0.0,0.0,0.0,0,4981,0,0
matris_raw_as_formation,formal_true,25,4981,0.024894599478016463,1.0,0.024894599478016463,1.0,0.048579823702252695,0.024894599478016463,124,4857,0,0
matris_raw_as_formation,formal_true,50,4981,0.05400521983537442,1.0,0.05400521983537442,1.0,0.10247619047619047,0.05400521983537442,269,4712,0,0
simple_residual,published,0,4981,0.22425215820116443,0.49547398786431907,0.1111111111111111,0.0008952551477170994,0.0017761989342806395,0.7743425015057217,1,8,1116,3856
simple_residual,published,25,4981,0.32824733989158805,0.29777655147041915,0.09774436090225563,0.007951070336391437,0.014705882352941176,0.6502710299136719,13,120,1622,3226
simple_residual,published,50,4981,0.43224252158201165,0.5453287771216243,0.2357142857142857,0.030654900139340455,0.05425400739827373,0.5380445693635816,66,214,2087,2614
simple_residual,formal_true,0,4981,0.0,,0.0,0.0,0.0,0.9981931339088537,0,9,0,4972
simple_residual,formal_true,25,4981,0.024894599478016463,35.33695124909047,0.8796992481203008,0.9435483870967742,0.9105058365758755,0.995382453322626,117,16,7,4841
simple_residual,formal_true,50,4981,0.05400521983537442,17.392498672331385,0.9392857142857143,0.9776951672862454,0.9581056466302368,0.995382453322626,263,17,6,4695
