method,truth_source,threshold_mev_atom,k,n_pool,hits,total_hits,precision,recall,enrichment_factor
canonical_formdelta,published,25,50,4981,3,1635,0.06,0.001834862385321101,0.18278899082568806
canonical_formdelta,published,25,100,4981,8,1635,0.08,0.004892966360856269,0.24371865443425075
canonical_formdelta,published,25,250,4981,23,1635,0.092,0.014067278287461774,0.2802764525993884
canonical_formdelta,published,25,500,4981,55,1635,0.11,0.03363914373088685,0.3351131498470948
canonical_formdelta,published,25,1000,4981,151,1635,0.151,0.09235474006116208,0.4600189602446483
canonical_formdelta,published,50,50,4981,17,2153,0.34,0.007895959126799815,0.7865954482117975
canonical_formdelta,published,50,100,4981,36,2153,0.36,0.01672085462145843,0.8328657686948444
canonical_formdelta,published,50,250,4981,59,2153,0.236,0.02740362285183465,0.5459897816999535
canonical_formdelta,published,50,500,4981,115,2153,0.23,0.053413841151881095,0.5321086855550395
canonical_formdelta,published,50,1000,4981,261,2153,0.261,0.12122619600557362,0.6038276823037622
canonical_formdelta,formal_true,25,50,4981,45,124,0.9,0.3629032258064516,36.15241935483871
canonical_formdelta,formal_true,25,100,4981,91,124,0.91,0.7338709677419355,36.55411290322581
canonical_formdelta,formal_true,25,250,4981,123,124,0.492,0.9919354838709677,19.76332258064516
canonical_formdelta,formal_true,25,500,4981,124,124,0.248,1.0,9.962
canonical_formdelta,formal_true,25,1000,4981,124,124,0.124,1.0,4.981
canonical_formdelta,formal_true,50,50,4981,47,269,0.94,0.17472118959107807,17.405724907063195
canonical_formdelta,formal_true,50,100,4981,97,269,0.97,0.36059479553903345,17.961226765799257
canonical_formdelta,formal_true,50,250,4981,230,269,0.92,0.8550185873605948,17.03539033457249
canonical_formdelta,formal_true,50,500,4981,269,269,0.538,1.0,9.962000000000002
canonical_formdelta,formal_true,50,1000,4981,269,269,0.269,1.0,4.981000000000001
composition_only_linear,published,25,50,4981,6,1635,0.12,0.003669724770642202,0.3655779816513761
composition_only_linear,published,25,100,4981,12,1635,0.12,0.007339449541284404,0.3655779816513761
composition_only_linear,published,25,250,4981,26,1635,0.104,0.015902140672782873,0.316834250764526
composition_only_linear,published,25,500,4981,56,1635,0.112,0.03425076452599388,0.34120611620795105
composition_only_linear,published,25,1000,4981,144,1635,0.144,0.08807339449541285,0.4386935779816513
composition_only_linear,published,50,50,4981,14,2153,0.28,0.006502554575011612,0.6477844867626568
composition_only_linear,published,50,100,4981,30,2153,0.3,0.013934045517882025,0.6940548072457037
composition_only_linear,published,50,250,4981,57,2153,0.228,0.026474686483975846,0.5274816535067348
composition_only_linear,published,50,500,4981,107,2153,0.214,0.04969809568044589,0.4950924291686019
composition_only_linear,published,50,1000,4981,247,2153,0.247,0.114723641430562,0.5714384579656293
composition_only_linear,formal_true,25,50,4981,12,124,0.24,0.0967741935483871,9.640645161290323
composition_only_linear,formal_true,25,100,4981,23,124,0.23,0.18548387096774194,9.238951612903225
composition_only_linear,formal_true,25,250,4981,51,124,0.204,0.4112903225806452,8.194548387096773
composition_only_linear,formal_true,25,500,4981,98,124,0.196,0.7903225806451613,7.873193548387097
composition_only_linear,formal_true,25,1000,4981,123,124,0.123,0.9919354838709677,4.94083064516129
composition_only_linear,formal_true,50,50,4981,20,269,0.4,0.07434944237918216,7.406691449814127
composition_only_linear,formal_true,50,100,4981,41,269,0.41,0.1524163568773234,7.591858736059479
composition_only_linear,formal_true,50,250,4981,102,269,0.408,0.379182156133829,7.554825278810409
composition_only_linear,formal_true,50,500,4981,203,269,0.406,0.7546468401486989,7.517791821561339
composition_only_linear,formal_true,50,1000,4981,267,269,0.267,0.9925650557620818,4.94396654275093
matris_affine_base,published,25,50,4981,7,1635,0.14,0.004281345565749235,0.42650764525993884
matris_affine_base,published,25,100,4981,14,1635,0.14,0.00856269113149847,0.42650764525993884
matris_affine_base,published,25,250,4981,27,1635,0.108,0.01651376146788991,0.3290201834862385
matris_affine_base,published,25,500,4981,54,1635,0.108,0.03302752293577982,0.3290201834862385
matris_affine_base,published,25,1000,4981,146,1635,0.146,0.08929663608562691,0.4447865443425076
matris_affine_base,published,50,50,4981,16,2153,0.32,0.0074314909428704135,0.7403251277287506
matris_affine_base,published,50,100,4981,33,2153,0.33,0.015327450069670227,0.7634602879702741
matris_affine_base,published,50,250,4981,59,2153,0.236,0.02740362285183465,0.5459897816999535
matris_affine_base,published,50,500,4981,111,2153,0.222,0.05155596841616349,0.5136005573618208
matris_affine_base,published,50,1000,4981,251,2153,0.251,0.11658151416627961,0.5806925220622388
matris_affine_base,formal_true,25,50,4981,15,124,0.3,0.12096774193548387,12.050806451612903
matris_affine_base,formal_true,25,100,4981,26,124,0.26,0.20967741935483872,10.444032258064516
matris_affine_base,formal_true,25,250,4981,54,124,0.216,0.43548387096774194,8.67658064516129
matris_affine_base,formal_true,25,500,4981,108,124,0.216,0.8709677419354839,8.67658064516129
matris_affine_base,formal_true,25,1000,4981,124,124,0.124,1.0,4.981
matris_affine_base,formal_true,50,50,4981,23,269,0.46,0.08550185873605948,8.517695167286245
matris_affine_base,formal_true,50,100,4981,44,269,0.44,0.16356877323420074,8.14736059479554
matris_affine_base,formal_true,50,250,4981,106,269,0.424,0.3940520446096654,7.851092936802973
matris_affine_base,formal_true,50,500,4981,220,269,0.44,0.8178438661710037,8.14736059479554
matris_affine_base,formal_true,50,1000,4981,269,269,0.269,1.0,4.981000000000001
matris_element_reference,published,25,50,4981,16,1635,0.32,0.009785932721712538,0.974874617737003
matris_element_reference,published,25,100,4981,25,1635,0.25,0.01529051987767584,0.7616207951070336
matris_element_reference,published,25,250,4981,62,1635,0.248,0.037920489296636085,0.7555278287461773
matris_element_reference,published,25,500,4981,134,1635,0.268,0.0819571865443425,0.8164574923547401
matris_element_reference,published,25,1000,4981,284,1635,0.284,0.17370030581039755,0.8652012232415901
matris_element_reference,published,50,50,4981,25,2153,0.5,0.011611704598235021,1.1567580120761727
matris_element_reference,published,50,100,4981,43,2153,0.43,0.019972131908964234,0.9948118903855085
matris_element_reference,published,50,250,4981,98,2153,0.392,0.04551788202508128,0.9068982814677194
matris_element_reference,published,50,500,4981,197,2153,0.394,0.09150023223409197,0.9115253135160242
matris_element_reference,published,50,1000,4981,394,2153,0.394,0.18300046446818394,0.9115253135160242
matris_element_reference,formal_true,25,50,4981,20,124,0.4,0.16129032258064516,16.06774193548387
matris_element_reference,formal_true,25,100,4981,30,124,0.3,0.24193548387096775,12.050806451612903
matris_element_reference,formal_true,25,250,4981,52,124,0.208,0.41935483870967744,8.355225806451612
matris_element_reference,formal_true,25,500,4981,66,124,0.132,0.532258064516129,5.302354838709678
matris_element_reference,formal_true,25,1000,4981,84,124,0.084,0.6774193548387096,3.374225806451613
matris_element_reference,formal_true,50,50,4981,28,269,0.56,0.10408921933085502,10.369368029739778
matris_element_reference,formal_true,50,100,4981,50,269,0.5,0.18587360594795538,9.258364312267657
matris_element_reference,formal_true,50,250,4981,92,269,0.368,0.3420074349442379,6.814156133828996
matris_element_reference,formal_true,50,500,4981,125,269,0.25,0.4646840148698885,4.629182156133829
matris_element_reference,formal_true,50,1000,4981,170,269,0.17,0.6319702602230484,3.1478438661710038
matris_raw_as_formation,published,25,50,4981,8,1635,0.16,0.004892966360856269,0.4874373088685015
matris_raw_as_formation,published,25,100,4981,23,1635,0.23,0.014067278287461774,0.700691131498471
matris_raw_as_formation,published,25,250,4981,59,1635,0.236,0.036085626911314984,0.7189700305810397
matris_raw_as_formation,published,25,500,4981,132,1635,0.264,0.08073394495412844,0.8042715596330275
matris_raw_as_formation,published,25,1000,4981,245,1635,0.245,0.14984709480122324,0.7463883792048929
matris_raw_as_formation,published,50,50,4981,14,2153,0.28,0.006502554575011612,0.6477844867626568
matris_raw_as_formation,published,50,100,4981,30,2153,0.3,0.013934045517882025,0.6940548072457037
matris_raw_as_formation,published,50,250,4981,76,2153,0.304,0.03529958197863446,0.703308871342313
matris_raw_as_formation,published,50,500,4981,167,2153,0.334,0.07756618671620993,0.7727143520668834
matris_raw_as_formation,published,50,1000,4981,327,2153,0.327,0.15188109614491407,0.7565197398978171
matris_raw_as_formation,formal_true,25,50,4981,7,124,0.14,0.056451612903225805,5.623709677419355
matris_raw_as_formation,formal_true,25,100,4981,10,124,0.1,0.08064516129032258,4.016935483870967
matris_raw_as_formation,formal_true,25,250,4981,19,124,0.076,0.1532258064516129,3.0528709677419354
matris_raw_as_formation,formal_true,25,500,4981,26,124,0.052,0.20967741935483872,2.088806451612903
matris_raw_as_formation,formal_true,25,1000,4981,42,124,0.042,0.3387096774193548,1.6871129032258065
matris_raw_as_formation,formal_true,50,50,4981,12,269,0.24,0.04460966542750929,4.444014869888476
matris_raw_as_formation,formal_true,50,100,4981,23,269,0.23,0.08550185873605948,4.2588475836431225
matris_raw_as_formation,formal_true,50,250,4981,35,269,0.14,0.13011152416356878,2.5923420074349446
matris_raw_as_formation,formal_true,50,500,4981,57,269,0.114,0.21189591078066913,2.110907063197026
matris_raw_as_formation,formal_true,50,1000,4981,89,269,0.089,0.3308550185873606,1.647988847583643
simple_residual,published,25,50,4981,9,1635,0.18,0.005504587155963303,0.5483669724770641
simple_residual,published,25,100,4981,12,1635,0.12,0.007339449541284404,0.3655779816513761
simple_residual,published,25,250,4981,28,1635,0.112,0.01712538226299694,0.34120611620795105
simple_residual,published,25,500,4981,57,1635,0.114,0.03486238532110092,0.3472990825688073
simple_residual,published,25,1000,4981,153,1635,0.153,0.09357798165137615,0.46611192660550455
simple_residual,published,50,50,4981,25,2153,0.5,0.011611704598235021,1.1567580120761727
simple_residual,published,50,100,4981,39,2153,0.39,0.018114259173246633,0.9022712494194148
simple_residual,published,50,250,4981,64,2153,0.256,0.029725963771481654,0.5922601021830005
simple_residual,published,50,500,4981,118,2153,0.236,0.0548072457036693,0.5459897816999535
simple_residual,published,50,1000,4981,267,2153,0.267,0.12401300510915002,0.6177087784486763
simple_residual,formal_true,25,50,4981,47,124,0.94,0.3790322580645161,37.759193548387096
simple_residual,formal_true,25,100,4981,95,124,0.95,0.7661290322580645,38.16088709677419
simple_residual,formal_true,25,250,4981,123,124,0.492,0.9919354838709677,19.76332258064516
simple_residual,formal_true,25,500,4981,124,124,0.248,1.0,9.962
simple_residual,formal_true,25,1000,4981,124,124,0.124,1.0,4.981
simple_residual,formal_true,50,50,4981,48,269,0.96,0.17843866171003717,17.776059479553904
simple_residual,formal_true,50,100,4981,98,269,0.98,0.3643122676579926,18.14639405204461
simple_residual,formal_true,50,250,4981,239,269,0.956,0.8884758364312267,17.70199256505576
simple_residual,formal_true,50,500,4981,269,269,0.538,1.0,9.962000000000002
simple_residual,formal_true,50,1000,4981,269,269,0.269,1.0,4.981000000000001
